,Date,GHI
0,2012-01-06,548.41895
1,2012-01-13,527.89545
2,2012-01-20,597.8091
3,2012-01-27,597.29034
4,2012-02-03,609.6214
5,2012-02-10,605.09503
6,2012-02-17,634.09656
7,2012-02-24,664.7277
8,2012-03-02,661.8696
9,2012-03-09,665.98694
10,2012-03-16,652.5941
11,2012-03-23,688.01605
12,2012-03-30,697.41644
13,2012-04-06,683.6856
14,2012-04-13,660.2366
15,2012-04-20,658.56604
16,2012-04-27,590.1016
17,2012-05-04,673.7249
18,2012-05-11,635.80426
19,2012-05-18,635.03705
20,2012-05-25,594.5416
21,2012-06-01,643.32635
22,2012-06-08,628.00806
23,2012-06-15,568.9647
24,2012-06-22,603.6381
25,2012-06-29,566.7352
26,2012-07-06,563.8312
27,2012-07-13,545.4902
28,2012-07-20,464.82773
29,2012-07-27,557.4599
30,2012-08-03,516.60486
31,2012-08-10,558.82855
32,2012-08-17,632.2481
33,2012-08-24,554.57336
34,2012-08-31,548.903
35,2012-09-07,536.4728
36,2012-09-14,625.59436
37,2012-09-21,613.5803
38,2012-09-28,551.39404
39,2012-10-05,589.78217
40,2012-10-12,621.5222
41,2012-10-19,498.7587
42,2012-10-26,567.76764
43,2012-11-02,341.55023
44,2012-11-09,551.9655
45,2012-11-16,565.828
46,2012-11-23,429.96323
47,2012-11-30,528.6715
48,2012-12-07,453.6205
49,2012-12-14,522.50806
50,2012-12-21,524.19434
51,2012-12-28,460.6806
52,2013-01-04,546.7256
53,2013-01-11,569.8412
54,2013-01-18,584.9932
55,2013-01-25,600.97095
56,2013-02-01,606.7946
57,2013-02-08,561.5966
58,2013-02-15,532.37384
59,2013-02-22,666.4378
60,2013-03-01,676.14056
61,2013-03-08,583.69183
62,2013-03-15,687.18506
63,2013-03-22,667.57776
64,2013-03-29,688.39685
65,2013-04-05,678.0095
66,2013-04-12,697.01263
67,2013-04-19,697.4677
68,2013-04-26,631.0431
69,2013-05-03,657.82294
70,2013-05-10,648.94965
71,2013-05-17,639.26
72,2013-05-24,647.99677
73,2013-05-31,578.86926
74,2013-06-07,584.21826
75,2013-06-14,545.7736
76,2013-06-21,617.6159
77,2013-06-28,566.07983
78,2013-07-05,550.7795
79,2013-07-12,519.4846
80,2013-07-19,475.18604
81,2013-07-26,518.62445
82,2013-08-02,550.2853
83,2013-08-09,591.4194
84,2013-08-16,429.31696
85,2013-08-23,633.67303
86,2013-08-30,613.0393
87,2013-09-06,514.7386
88,2013-09-13,494.08533
89,2013-09-20,546.357
90,2013-09-27,609.9033
91,2013-10-04,542.7662
92,2013-10-11,532.5092
93,2013-10-18,495.55716
94,2013-10-25,406.8754
95,2013-11-01,541.4114
96,2013-11-08,559.36896
97,2013-11-15,460.84216
98,2013-11-22,515.305
99,2013-11-29,499.13675
100,2013-12-06,526.81635
101,2013-12-13,497.3644
102,2013-12-20,539.71356
103,2013-12-27,537.7868
104,2014-01-03,495.0315
105,2014-01-10,552.16736
106,2014-01-17,552.7581
107,2014-01-24,568.9536
108,2014-01-31,583.7871
109,2014-02-07,615.9338
110,2014-02-14,552.90735
111,2014-02-21,590.8252
112,2014-02-28,579.6978
113,2014-03-07,551.3317
114,2014-03-14,624.23785
115,2014-03-21,679.1692
116,2014-03-28,700.51886
117,2014-04-04,672.39343
118,2014-04-11,662.6842
119,2014-04-18,681.18304
120,2014-04-25,656.8959
121,2014-05-02,655.9986
122,2014-05-09,559.6726
123,2014-05-16,666.6006
124,2014-05-23,676.7373
125,2014-05-30,654.9368
126,2014-06-06,641.4662
127,2014-06-13,643.0385
128,2014-06-20,537.6481
129,2014-06-27,613.42316
130,2014-07-04,595.8405
131,2014-07-11,567.48645
132,2014-07-18,560.83875
133,2014-07-25,513.6519
134,2014-08-01,459.85236
135,2014-08-08,564.34436
136,2014-08-15,607.5314
137,2014-08-22,655.5167
138,2014-08-29,488.72815
139,2014-09-05,551.72003
140,2014-09-12,646.7917
141,2014-09-19,484.25604
142,2014-09-26,579.3767
143,2014-10-03,611.3156
144,2014-10-10,547.9569
145,2014-10-17,545.1815
146,2014-10-24,493.58804
147,2014-10-31,540.4989
148,2014-11-07,512.8824
149,2014-11-14,463.73328
150,2014-11-21,541.0047
151,2014-11-28,504.27234
152,2014-12-05,532.4362
153,2014-12-12,436.42593
154,2014-12-19,442.27222
155,2014-12-26,460.19275
