,Date,GHI
0,2012-01-31,564.0314
1,2012-02-29,638.8677
2,2012-03-31,660.86066
3,2012-04-30,645.8532
4,2012-05-31,661.8572
5,2012-06-30,595.5631
6,2012-07-31,460.44147
7,2012-08-31,519.0938
8,2012-09-30,555.8483
9,2012-10-31,501.37805
10,2012-11-30,532.9728
11,2012-12-31,449.51965
12,2013-01-31,562.0798
13,2013-02-28,650.83826
14,2013-03-31,650.7825
15,2013-04-30,709.68207
16,2013-05-31,635.5658
17,2013-06-30,595.113
18,2013-07-31,546.9014
19,2013-08-31,523.53064
20,2013-09-30,552.1787
21,2013-10-31,498.2354
22,2013-11-30,594.57306
23,2013-12-31,552.9529
24,2014-01-31,534.0763
25,2014-02-28,605.41095
26,2014-03-31,623.6583
27,2014-04-30,682.20154
28,2014-05-31,687.81256
29,2014-06-30,584.3234
30,2014-07-31,496.55975
31,2014-08-31,539.57355
32,2014-09-30,606.3076
33,2014-10-31,494.60748
34,2014-11-30,422.35397
35,2014-12-31,486.62592
