,Date,GHI
0,2012-01-01,525.8902
1,2012-01-02,553.9807
2,2012-01-03,555.7807
3,2012-01-04,559.4811
4,2012-01-05,559.8813
5,2012-01-06,481.2572
6,2012-01-07,569.68146
7,2012-01-08,585.6819
8,2012-01-09,574.7818
9,2012-01-10,561.7779
10,2012-01-11,447.50998
11,2012-01-12,473.0004
12,2012-01-13,513.2893
13,2012-01-14,584.383
14,2012-01-15,596.686
15,2012-01-16,594.585
16,2012-01-17,606.0832
17,2012-01-18,603.28314
18,2012-01-19,596.7834
19,2012-01-20,586.68335
20,2012-01-21,593.38324
21,2012-01-22,606.9836
22,2012-01-23,602.884
23,2012-01-24,609.18396
24,2012-01-25,615.9847
25,2012-01-26,611.388
26,2012-01-27,619.28705
27,2012-01-28,528.5847
28,2012-01-29,540.0945
29,2012-01-30,615.5774
30,2012-01-31,623.28723
31,2012-02-01,593.88367
32,2012-02-02,597.8834
33,2012-02-03,612.18475
34,2012-02-04,613.7874
35,2012-02-05,619.1846
36,2012-02-06,624.6849
37,2012-02-07,612.8849
38,2012-02-08,614.2863
39,2012-02-09,619.4845
40,2012-02-10,581.77155
41,2012-02-11,580.1778
42,2012-02-12,618.08435
43,2012-02-13,624.6845
44,2012-02-14,643.58466
45,2012-02-15,593.90533
46,2012-02-16,642.6845
47,2012-02-17,622.8917
48,2012-02-18,660.8847
49,2012-02-19,664.587
50,2012-02-20,658.4847
51,2012-02-21,664.1829
52,2012-02-22,666.3852
53,2012-02-23,663.58484
54,2012-02-24,659.0858
55,2012-02-25,673.3841
56,2012-02-26,679.2839
57,2012-02-27,686.08136
58,2012-02-28,688.8827
59,2012-03-01,655.9841
60,2012-03-02,652.2845
61,2012-03-03,652.88464
62,2012-03-04,660.6837
63,2012-03-05,652.9813
64,2012-03-06,658.48553
65,2012-03-07,671.98083
66,2012-03-08,664.08734
67,2012-03-09,660.5821
68,2012-03-10,681.0808
69,2012-03-11,678.5819
70,2012-03-12,675.08276
71,2012-03-13,599.10034
72,2012-03-14,629.1934
73,2012-03-15,627.79584
74,2012-03-16,659.2882
75,2012-03-17,689.88196
76,2012-03-18,689.1826
77,2012-03-19,679.38416
78,2012-03-20,675.4896
79,2012-03-21,673.9622
80,2012-03-22,686.8816
81,2012-03-23,699.8811
82,2012-03-24,700.88214
83,2012-03-25,703.48047
84,2012-03-26,702.8781
85,2012-03-27,701.9793
86,2012-03-28,706.3805
87,2012-03-29,707.08105
88,2012-03-30,687.98126
89,2012-03-31,690.7804
90,2012-04-01,701.4786
91,2012-04-02,702.77563
92,2012-04-03,702.47784
93,2012-04-04,703.3783
94,2012-04-05,699.2814
95,2012-04-06,697.07965
96,2012-04-07,684.4757
97,2012-04-08,626.0321
98,2012-04-09,663.85516
99,2012-04-10,674.3755
100,2012-04-11,599.2197
101,2012-04-12,666.373
102,2012-04-13,693.48413
103,2012-04-14,698.374
104,2012-04-15,708.1775
105,2012-04-16,700.57874
106,2012-04-17,687.9785
107,2012-04-18,633.6751
108,2012-04-19,667.3801
109,2012-04-20,674.27325
110,2012-04-21,688.0694
111,2012-04-22,662.6702
112,2012-04-23,655.86755
113,2012-04-24,688.8781
114,2012-04-25,559.81116
115,2012-04-26,610.2299
116,2012-04-27,581.4643
117,2012-04-28,578.62317
118,2012-04-29,672.88086
119,2012-04-30,640.38605
120,2012-05-01,582.6279
121,2012-05-02,671.2652
122,2012-05-03,675.8769
123,2012-05-04,682.1815
124,2012-05-05,679.7815
125,2012-05-06,683.2814
126,2012-05-07,675.78265
127,2012-05-08,669.87134
128,2012-05-09,648.2246
129,2012-05-10,642.8057
130,2012-05-11,646.6924
131,2012-05-12,611.34753
132,2012-05-13,612.7081
133,2012-05-14,658.1766
134,2012-05-15,644.7807
135,2012-05-16,589.751
136,2012-05-17,672.3793
137,2012-05-18,674.2787
138,2012-05-19,677.48065
139,2012-05-20,637.2696
140,2012-05-21,584.1664
141,2012-05-22,662.2811
142,2012-05-23,653.80774
143,2012-05-24,664.1775
144,2012-05-25,647.18726
145,2012-05-26,410.4411
146,2012-05-27,434.1064
147,2012-05-28,652.76587
148,2012-05-29,365.99036
149,2012-05-30,635.06445
150,2012-05-31,644.471
151,2012-06-01,573.41235
152,2012-06-02,693.19745
153,2012-06-03,701.1853
154,2012-06-04,683.3827
155,2012-06-05,658.888
156,2012-06-06,583.481
157,2012-06-07,681.5586
158,2012-06-08,657.70953
159,2012-06-09,659.59357
160,2012-06-10,535.76086
161,2012-06-11,681.81415
162,2012-06-12,668.2796
163,2012-06-13,617.46265
164,2012-06-14,620.76874
165,2012-06-15,594.25037
166,2012-06-16,517.67474
167,2012-06-17,608.46484
168,2012-06-18,338.18695
169,2012-06-19,602.32556
170,2012-06-20,614.6149
171,2012-06-21,583.3645
172,2012-06-22,607.8884
173,2012-06-23,568.5973
174,2012-06-24,596.165
175,2012-06-25,621.3566
176,2012-06-26,452.3885
177,2012-06-27,455.96454
178,2012-06-28,609.4042
179,2012-06-29,627.6691
180,2012-06-30,686.8802
181,2012-07-01,605.03906
182,2012-07-02,541.85046
183,2012-07-03,431.1317
184,2012-07-04,622.37634
185,2012-07-05,670.0831
186,2012-07-06,567.9617
187,2012-07-07,364.81058
188,2012-07-08,577.84924
189,2012-07-09,505.66843
190,2012-07-10,513.27625
191,2012-07-11,606.717
192,2012-07-12,694.8811
193,2012-07-13,646.95905
194,2012-07-14,433.62054
195,2012-07-15,417.9055
196,2012-07-16,323.5618
197,2012-07-17,463.3408
198,2012-07-18,434.27298
199,2012-07-19,573.08984
200,2012-07-20,422.76517
201,2012-07-21,330.5954
202,2012-07-22,550.0789
203,2012-07-23,652.15314
204,2012-07-24,534.13934
205,2012-07-25,471.28552
206,2012-07-26,451.68994
207,2012-07-27,653.4997
208,2012-07-28,674.3862
209,2012-07-29,519.5422
210,2012-07-30,650.25964
211,2012-07-31,576.9145
212,2012-08-01,678.8866
213,2012-08-02,559.42316
214,2012-08-03,369.6916
215,2012-08-04,327.38956
216,2012-08-05,558.0705
217,2012-08-06,456.17667
218,2012-08-07,542.1643
219,2012-08-08,643.7029
220,2012-08-09,608.4679
221,2012-08-10,436.13486
222,2012-08-11,501.48077
223,2012-08-12,508.66183
224,2012-08-13,589.2018
225,2012-08-14,633.5928
226,2012-08-15,654.64777
227,2012-08-16,650.9961
228,2012-08-17,573.70013
229,2012-08-18,603.54584
230,2012-08-19,674.99524
231,2012-08-20,681.77814
232,2012-08-21,617.1582
233,2012-08-22,554.4172
234,2012-08-23,624.16125
235,2012-08-24,612.4122
236,2012-08-25,594.26776
237,2012-08-26,403.59824
238,2012-08-27,458.62717
239,2012-08-28,524.76544
240,2012-08-29,541.0244
241,2012-08-30,478.50433
242,2012-08-31,555.11237
243,2012-09-01,655.768
244,2012-09-02,628.5812
245,2012-09-03,437.36258
246,2012-09-04,498.9363
247,2012-09-05,562.1822
248,2012-09-06,575.99457
249,2012-09-07,565.3943
250,2012-09-08,422.06915
251,2012-09-09,541.8073
252,2012-09-10,497.48502
253,2012-09-11,617.15894
254,2012-09-12,615.4002
255,2012-09-13,649.3893
256,2012-09-14,675.1789
257,2012-09-15,591.3979
258,2012-09-16,629.1908
259,2012-09-17,633.99646
260,2012-09-18,568.6653
261,2012-09-19,578.12537
262,2012-09-20,577.40015
263,2012-09-21,596.7824
264,2012-09-22,672.97595
265,2012-09-23,674.17566
266,2012-09-24,671.77576
267,2012-09-25,659.3772
268,2012-09-26,619.44037
269,2012-09-27,537.9188
270,2012-09-28,585.0932
271,2012-09-29,557.322
272,2012-09-30,466.33786
273,2012-10-01,360.0781
274,2012-10-02,592.65314
275,2012-10-03,596.2109
276,2012-10-04,639.474
277,2012-10-05,646.07404
278,2012-10-06,570.9769
279,2012-10-07,503.29703
280,2012-10-08,502.8612
281,2012-10-09,631.67737
282,2012-10-10,640.77374
283,2012-10-11,642.07367
284,2012-10-12,623.3734
285,2012-10-13,621.2733
286,2012-10-14,616.77344
287,2012-10-15,556.0944
288,2012-10-16,595.08105
289,2012-10-17,619.6731
290,2012-10-18,600.3788
291,2012-10-19,433.00662
292,2012-10-20,314.3532
293,2012-10-21,347.07416
294,2012-10-22,486.39984
295,2012-10-23,439.8882
296,2012-10-24,540.6576
297,2012-10-25,601.17285
298,2012-10-26,588.6757
299,2012-10-27,597.36444
300,2012-10-28,589.2809
301,2012-10-29,520.3466
302,2012-10-30,479.66177
303,2012-10-31,205.71162
304,2012-11-01,134.08272
305,2012-11-02,279.57474
306,2012-11-03,326.87817
307,2012-11-04,551.8787
308,2012-11-05,515.2432
309,2012-11-06,556.88666
310,2012-11-07,542.3585
311,2012-11-08,556.9731
312,2012-11-09,553.87384
313,2012-11-10,559.27313
314,2012-11-11,563.27313
315,2012-11-12,558.5731
316,2012-11-13,563.0739
317,2012-11-14,572.57465
318,2012-11-15,573.7749
319,2012-11-16,564.3739
320,2012-11-17,568.3732
321,2012-11-18,560.27435
322,2012-11-19,560.4725
323,2012-11-20,551.4737
324,2012-11-21,498.78525
325,2012-11-22,323.70856
326,2012-11-23,263.41406
327,2012-11-24,446.77518
328,2012-11-25,485.35602
329,2012-11-26,538.1588
330,2012-11-27,547.5709
331,2012-11-28,543.27496
332,2012-11-29,537.0751
333,2012-11-30,530.57495
334,2012-12-01,542.8752
335,2012-12-02,546.8747
336,2012-12-03,422.61957
337,2012-12-04,215.1489
338,2012-12-05,169.58386
339,2012-12-06,499.65787
340,2012-12-07,532.27625
341,2012-12-08,527.5732
342,2012-12-09,530.8766
343,2012-12-10,532.5767
344,2012-12-11,527.177
345,2012-12-12,530.0771
346,2012-12-13,525.1773
347,2012-12-14,530.6777
348,2012-12-15,543.7783
349,2012-12-16,480.97568
350,2012-12-17,491.24274
351,2012-12-18,378.8695
352,2012-12-19,532.37695
353,2012-12-20,531.27905
354,2012-12-21,506.17532
355,2012-12-22,537.37756
356,2012-12-23,505.44427
357,2012-12-24,525.68353
358,2012-12-25,529.87585
359,2012-12-26,532.3804
360,2012-12-27,500.5546
361,2012-12-28,441.09094
362,2012-12-29,405.07587
363,2012-12-30,294.54303
364,2012-12-31,423.4886
365,2013-01-01,546.18066
366,2013-01-02,549.1809
367,2013-01-03,551.5811
368,2013-01-04,545.7706
369,2013-01-05,552.18115
370,2013-01-06,522.28375
371,2013-01-07,556.1816
372,2013-01-08,560.48175
373,2013-01-09,568.18195
374,2013-01-10,568.78174
375,2013-01-11,567.18207
376,2013-01-12,573.88214
377,2013-01-13,580.9829
378,2013-01-14,578.4858
379,2013-01-15,575.9865
380,2013-01-16,582.9836
381,2013-01-17,589.6827
382,2013-01-18,580.8832
383,2013-01-19,587.4832
384,2013-01-20,594.184
385,2013-01-21,592.6835
386,2013-01-22,592.68365
387,2013-01-23,599.3841
388,2013-01-24,602.8849
389,2013-01-25,604.28455
390,2013-01-26,605.6846
391,2013-01-27,604.4842
392,2013-01-28,605.5842
393,2013-01-29,604.18427
394,2013-01-30,601.4864
395,2013-01-31,615.9826
396,2013-02-01,609.68494
397,2013-02-02,614.1853
398,2013-02-03,616.88684
399,2013-02-04,620.08716
400,2013-02-05,589.189
401,2013-02-06,471.52713
402,2013-02-07,598.2873
403,2013-02-08,596.36053
404,2013-02-09,596.586
405,2013-02-10,623.28436
406,2013-02-11,627.1846
407,2013-02-12,611.8556
408,2013-02-13,630.48444
409,2013-02-14,608.88354
410,2013-02-15,400.38715
411,2013-02-16,457.43475
412,2013-02-17,448.62137
413,2013-02-18,628.28326
414,2013-02-19,639.0923
415,2013-02-20,657.7845
416,2013-02-21,662.3843
417,2013-02-22,665.7843
418,2013-02-23,675.28436
419,2013-02-24,686.58563
420,2013-02-25,683.3905
421,2013-02-26,689.48517
422,2013-02-27,690.68463
423,2013-02-28,693.48444
424,2013-03-01,668.88635
425,2013-03-02,673.68335
426,2013-03-03,673.7851
427,2013-03-04,666.6845
428,2013-03-05,608.6746
429,2013-03-06,521.3958
430,2013-03-07,488.98257
431,2013-03-08,605.76624
432,2013-03-09,644.6916
433,2013-03-10,667.58307
434,2013-03-11,666.5831
435,2013-03-12,673.7828
436,2013-03-13,679.08374
437,2013-03-14,687.1823
438,2013-03-15,687.58234
439,2013-03-16,694.4838
440,2013-03-17,704.9771
441,2013-03-18,705.1832
442,2013-03-19,704.4832
443,2013-03-20,640.13055
444,2013-03-21,661.69415
445,2013-03-22,696.9816
446,2013-03-23,692.8703
447,2013-03-24,714.8802
448,2013-03-25,630.4273
449,2013-03-26,688.5806
450,2013-03-27,695.48126
451,2013-03-28,694.4808
452,2013-03-29,690.4805
453,2013-03-30,694.38135
454,2013-03-31,683.8679
455,2013-04-01,677.87933
456,2013-04-02,683.18036
457,2013-04-03,684.38354
458,2013-04-04,664.87897
459,2013-04-05,686.27875
460,2013-04-06,684.6878
461,2013-04-07,695.3794
462,2013-04-08,689.0793
463,2013-04-09,606.27637
464,2013-04-10,689.1759
465,2013-04-11,707.8768
466,2013-04-12,706.6775
467,2013-04-13,705.3776
468,2013-04-14,709.5761
469,2013-04-15,681.0781
470,2013-04-16,709.5762
471,2013-04-17,707.17694
472,2013-04-18,709.27454
473,2013-04-19,686.67834
474,2013-04-20,697.97833
475,2013-04-21,701.1783
476,2013-04-22,693.1779
477,2013-04-23,692.378
478,2013-04-24,674.5982
479,2013-04-25,656.63794
480,2013-04-26,542.8523
