Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,34082,-,-,-,14.25,77.35,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed,
2010,1,1,0,0,0,0,0,0,0,0,19,20.287062463002655,936.3072509765625,93.73906954644288,171.0632190785073,2.442548990249634,N/A
2010,1,1,1,0,0,0,0,0,0,0,19,19.937137650774844,935.4486694335938,95.25134200845429,162.02157746220223,2.3027350902557373,N/A
2010,1,1,2,0,0,0,0,0,0,0,19,19.680972896488413,935.341552734375,96.28722266895463,148.90029699161246,2.1210837364196777,N/A
2010,1,1,3,0,0,0,0,0,0,0,18,19.551259870898093,934.8450317382812,96.30893056148393,135.20326432574498,1.9796946048736572,N/A
2010,1,1,4,0,0,0,0,0,0,0,18,19.447306892260315,935.1245727539062,96.04604957739635,121.41150631947995,1.9762412309646606,N/A
2010,1,1,5,0,0,0,0,0,0,0,18,18.707397268140312,939.1271362304688,96.55429207303516,107.71050920593697,1.678013563156128,N/A
2010,1,1,6,0,0,0,0,0,0,0,18,18.883177556674525,940.2158203125,94.84484521519308,94.16777337091548,1.6157907247543335,N/A
2010,1,1,7,0,59,248,98,59,248,98,18,19.78702407498014,941.2160034179688,92.17476932741108,80.95135644682732,1.6197352409362793,N/A
2010,1,1,8,0,117,521,310,117,521,310,19,21.59003552615013,942.2092895507812,85.98118074003548,68.28779587405526,1.9193453788757324,N/A
2010,1,1,9,0,150,663,515,150,663,515,19,24.555973574474706,942.16162109375,73.77093144992355,56.57233288877642,2.4573585987091064,N/A
2010,1,1,10,0,169,739,678,169,739,678,19,26.3878876952935,941.5892944335938,64.28703570678356,46.54682215023629,2.8811914920806885,N/A
2010,1,1,11,0,180,777,779,180,777,779,18,27.61122445372905,940.384033203125,59.16707703874388,39.53340322018178,3.0585880279541016,N/A
2010,1,1,12,0,183,788,810,183,788,810,18,28.22487882873935,939.1443481445312,56.574220878201785,37.28125896115616,3.1744134426116943,N/A
2010,1,1,13,0,178,773,766,178,773,766,18,28.235024880565675,937.87890625,55.98224682155241,40.593026243868586,3.266211748123169,N/A
2010,1,1,14,0,166,730,652,166,730,652,18,27.735990154748436,937.5240478515625,57.181939846452266,48.335949704053945,3.2603368759155273,N/A
2010,1,1,15,0,145,645,479,145,645,479,18,26.7032085912835,937.3823852539062,59.82392667589319,58.77865513599297,3.203566312789917,N/A
2010,1,1,16,0,109,485,269,109,485,269,18,25.123239550221456,937.7506713867188,66.49284760718132,70.7267765485577,3.0273635387420654,N/A
