Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,9406,-,-,-,21.65,69.85,0,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,DHI,DHI Perez,DNI,DNI Perez,Fill Flag,GHI,GHI Perez,Relative Humidity,Snow Depth,Solar Zenith Angle,Pressure,Precipitable Water,Wind Direction,Wind Speed
2001,1,1,0,0,18,0,0,0,14,0,0,0,0,0,0,0,83.08,0,116.8,1010,1.085,0.4,3.4000000000000004
2001,1,1,1,0,17,0,0,0,14,0,0,0,0,0,0,0,84.26,0,103.52,1010,1.027,11.4,3.3000000000000003
2001,1,1,2,0,18,1,0,1,13,0,0,0,0,0,0,0,73.88,0,90.60000000000001,1010,0.9440000000000001,23.200000000000003,3.1
2001,1,1,3,0,20,74,413,158,9,74,73,413,416,0,158,158,50.28,0,78.26,1010,0.864,34.2,2.5
2001,1,1,4,0,24,114,655,372,3,114,103,655,674,0,372,369,26.43,0,66.8,1010,0.81,40.400000000000006,2.6
2001,1,1,5,0,27,136,773,560,0,136,121,773,782,0,560,550,16.47,0,56.78,1010,0.773,41.7,2.6
2001,1,1,6,0,29,149,833,694,-1,133,133,831,831,0,677,677,13.88,0,49.120000000000005,1010,0.746,39,2.3000000000000003
2001,1,1,7,0,30,154,859,761,-2,154,134,859,863,0,761,744,12.22,0,45.02,1010,0.735,32.800000000000004,2
2001,1,1,8,0,30,154,856,754,-2,154,133,856,860,0,754,737,11.31,0,45.480000000000004,1010,0.736,24.400000000000002,1.9000000000000001
2001,1,1,9,0,30,147,826,674,-3,147,128,826,831,0,674,659,11.040000000000001,0,50.36,1010,0.743,15,2
2001,1,1,10,0,29,133,758,528,-3,133,118,758,766,0,528,518,11.41,0,58.57,1010,0.739,8.6,2.3000000000000003
2001,1,1,11,0,27,108,625,333,-3,111,111,607,607,0,330,330,12.66,0,68.92,1010,0.733,6.1000000000000005,2.6
2001,1,1,12,0,24,63,346,120,1,66,66,249,249,0,107,107,22.26,0,80.58,1010,0.724,1.6,2.8000000000000003
2001,1,1,13,0,23,3,17,2,5,0,0,0,0,0,0,0,31.8,0,93.07000000000001,1010,0.71,3.3000000000000003,3.2
2001,1,1,14,0,22,0,0,0,4,0,0,0,0,0,0,0,32.02,0,106.06,1010,0.6950000000000001,9.200000000000001,3.6
