Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,41057,-,-,-,18.75,79.45,0,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,DHI,DHI Perez,DNI,DNI Perez,Fill Flag,GHI,GHI Perez,Relative Humidity,Snow Depth,Solar Zenith Angle,Pressure,Precipitable Water,Wind Direction,Wind Speed
2009,1,1,0,0,17,0,0,0,14,0,0,0,0,0,0,0,87.12,0,107.34,980,1.81,249.70000000000002,1.3
2009,1,1,1,0,17,0,0,0,15,0,0,0,0,0,0,0,88.7,0,94.08,980,1.808,263.40000000000003,1.1
2009,1,1,2,0,20,62,221,96,16,68,68,134,134,0,89,89,83.39,0,81.25,980,1.797,273.3,0.7000000000000001
2009,1,1,3,0,23,131,482,303,16,131,135,482,479,0,303,306,69.10000000000001,0,69.11,980,1.786,264.3,0.30000000000000004
2009,1,1,4,0,27,170,623,499,17,170,162,623,637,0,499,499,54.15,0,58.13,980,1.793,125.80000000000001,0.4
2009,1,1,5,0,30,192,700,652,16,192,178,700,728,0,652,655,45.03,0,49.08,980,1.817,110.5,0.8
2009,1,1,6,0,31,204,737,742,16,204,185,737,769,0,742,746,41.980000000000004,0,43.21,980,1.843,108.4,0.9
2009,1,1,7,0,32,206,744,760,16,242,242,684,684,0,752,752,40.33,0,41.88,980,1.881,104.2,0.8
2009,1,1,8,0,32,199,722,706,16,253,253,557,557,0,644,644,39.56,0,45.49,980,1.923,89,0.7000000000000001
2009,1,1,9,0,31,183,667,584,15,226,226,518,518,0,538,538,39.99,0,53.050000000000004,980,1.951,78.2,0.6000000000000001
2009,1,1,10,0,30,153,564,408,15,173,173,463,463,0,383,383,43.14,0,63.14,980,1.945,83,0.7000000000000001
2009,1,1,11,0,26,103,375,202,15,109,109,294,294,0,187,187,52.120000000000005,0,74.75,980,1.922,105.7,0.8
2009,1,1,12,0,25,16,51,18,17,4,4,0,0,0,4,4,64.77,0,87.25,980,1.8940000000000001,133.8,1.2000000000000002
2009,1,1,13,0,24,0,0,0,15,0,0,0,0,0,0,0,59.93,0,100.31,980,1.883,148.1,1.8
2009,1,1,14,0,23,0,0,0,15,0,0,0,0,0,0,0,64.74,0,113.73,980,1.9000000000000001,157.70000000000002,2.3000000000000003
2009,1,1,15,0,22,0,0,0,16,0,0,0,0,0,0,0,68.74,0,127.36,980,1.95,166.20000000000002,2.6
2009,1,1,16,0,21,0,0,0,16,0,0,0,0,0,0,0,72.41,0,141.13,980,2.0220000000000002,173.5,2.8000000000000003
2009,1,1,17,0,21,0,0,0,16,0,0,0,0,0,0,0,75.52,0,154.93,980,2.108,179.20000000000002,2.7
2009,1,1,18,0,20,0,0,0,16,0,0,0,0,0,0,0,78.34,0,168.47,980,2.2,183.4,2.6
2009,1,1,19,0,19,0,0,0,15,0,0,0,0,0,0,0,81.12,0,174.69,980,2.2760000000000002,186,2.6
2009,1,1,20,0,19,0,0,0,15,0,0,0,0,0,0,0,84.09,0,162.23,980,2.336,187.20000000000002,2.5
2009,1,1,21,0,18,0,0,0,16,0,0,0,0,0,0,0,87.89,0,148.49,980,2.378,186.4,2.4000000000000004
2009,1,1,22,0,17,0,0,0,16,0,0,0,0,0,0,0,92.24,0,134.69,980,2.404,184.4,2.3000000000000003
2009,1,1,23,0,17,0,0,0,16,0,0,0,0,0,0,0,96.47,0,120.97,980,2.419,181.8,2.3000000000000003
2009,1,2,0,0,16,0,0,0,16,0,0,0,0,0,0,0,100,0,107.42,980,2.426,178.70000000000002,2.3000000000000003
2009,1,2,1,0,17,0,0,0,16,0,0,0,0,0,0,0,99.5,0,94.15,980,2.431,175.60000000000002,2.4000000000000004
2009,1,2,2,0,19,61,210,92,17,66,66,141,141,0,88,88,87.89,0,81.31,980,2.433,173.20000000000002,2.2
2009,1,2,3,0,23,129,467,296,18,149,149,352,352,0,275,275,75.78,0,69.16,980,2.445,168,2.1
2009,1,2,4,0,26,168,608,489,18,207,207,478,478,0,460,460,62.410000000000004,0,58.15,980,2.485,162.60000000000002,2.3000000000000003
2009,1,2,5,0,29,191,684,639,18,218,218,627,627,0,629,629,53.660000000000004,0,49.07,980,2.536,156.3,2.1
2009,1,2,6,0,30,202,721,728,18,232,232,671,671,0,722,722,49.77,0,43.15,980,2.591,150.1,1.9000000000000001
2009,1,2,7,0,31,204,728,747,18,267,267,602,602,0,716,716,47.97,0,41.78,980,2.6430000000000002,143.1,1.6
2009,1,2,8,0,31,198,706,694,18,198,239,706,651,0,694,697,47.64,0,45.37,980,2.692,132.6,1.3
2009,1,2,9,0,30,181,651,574,18,249,249,454,454,0,523,523,48.74,0,52.910000000000004,980,2.729,134,1.4000000000000001
2009,1,2,10,0,29,152,549,401,17,186,186,422,422,0,378,378,51.85,0,63,980,2.748,142.1,1.5
2009,1,2,11,0,27,102,363,199,18,119,119,210,210,0,175,175,60.67,0,74.61,980,2.761,152.1,1.8
2009,1,2,12,0,24,16,50,19,18,4,4,0,0,0,4,4,67.85,0,87.12,980,2.769,161.9,2.1
2009,1,2,13,0,24,0,0,0,17,0,0,0,0,0,0,0,70.37,0,100.19,980,2.781,168.5,2.3000000000000003
2009,1,2,14,0,23,0,0,0,17,0,0,0,0,0,0,0,72.5,0,113.60000000000001,980,2.8040000000000003,174.3,2.3000000000000003
2009,1,2,15,0,22,0,0,0,17,0,0,0,0,0,0,0,74.4,0,127.25,980,2.827,179.10000000000002,2.3000000000000003
2009,1,2,16,0,22,0,0,0,17,0,0,0,0,0,0,0,76.04,0,141.02,980,2.83,184,2.2
2009,1,2,17,0,21,0,0,0,16,0,0,0,0,0,0,0,77.36,0,154.83,980,2.827,187.8,2.3000000000000003
2009,1,2,18,0,21,0,0,0,16,0,0,0,0,0,0,0,78.86,0,168.4,980,2.816,191.20000000000002,2.3000000000000003
2009,1,2,19,0,20,0,0,0,16,0,0,0,0,0,0,0,80.51,0,174.82,980,2.805,193.8,2.4000000000000004
2009,1,2,20,0,20,0,0,0,16,0,0,0,0,0,0,0,82.5,0,162.35,980,2.7960000000000003,194.60000000000002,2.4000000000000004
2009,1,2,21,0,19,0,0,0,16,0,0,0,0,0,0,0,85.07000000000001,0,148.6,980,2.783,195.10000000000002,2.3000000000000003
