,Date,GHI
0,2012-01-31,251.99706
1,2012-02-29,327.55923
2,2012-03-31,313.56378
3,2012-04-30,358.63937
4,2012-05-31,326.1511
5,2012-06-30,314.5976
6,2012-07-31,255.46997
7,2012-08-31,222.5447
8,2012-09-30,237.44884
9,2012-10-31,248.0545
10,2012-11-30,197.60873
11,2012-12-31,206.69719
12,2013-01-31,224.37613
13,2013-02-28,295.2826
14,2013-03-31,322.61374
15,2013-04-30,387.7561
16,2013-05-31,348.90088
17,2013-06-30,325.53638
18,2013-07-31,297.83133
19,2013-08-31,280.49744
20,2013-09-30,262.60007
21,2013-10-31,253.07129
22,2013-11-30,218.58322
23,2013-12-31,212.84416
24,2014-01-31,245.69797
25,2014-02-28,297.3199
26,2014-03-31,324.57806
27,2014-04-30,347.43353
28,2014-05-31,335.8894
29,2014-06-30,329.2332
30,2014-07-31,286.47632
31,2014-08-31,233.41309
32,2014-09-30,213.74312
33,2014-10-31,249.03726
34,2014-11-30,200.54387
35,2014-12-31,203.81487
