,Date,GHI
0,2012-01-06,216.72081
1,2012-01-13,234.14345
2,2012-01-20,246.20883
3,2012-01-27,230.26006
4,2012-02-03,246.42703
5,2012-02-10,270.05005
6,2012-02-17,288.115
7,2012-02-24,301.3536
8,2012-03-02,302.98038
9,2012-03-09,311.2188
10,2012-03-16,325.91937
11,2012-03-23,332.81015
12,2012-03-30,336.22324
13,2012-04-06,340.32886
14,2012-04-13,339.91843
15,2012-04-20,299.61597
16,2012-04-27,352.04535
17,2012-05-04,342.11765
18,2012-05-11,332.84103
19,2012-05-18,344.8595
20,2012-05-25,347.37814
21,2012-06-01,337.56137
22,2012-06-08,328.39603
23,2012-06-15,279.35645
24,2012-06-22,304.577
25,2012-06-29,301.84714
26,2012-07-06,268.28162
27,2012-07-13,265.62653
28,2012-07-20,262.63364
29,2012-07-27,252.48915
30,2012-08-03,229.11797
31,2012-08-10,266.09717
32,2012-08-17,266.0102
33,2012-08-24,221.99545
34,2012-08-31,263.45703
35,2012-09-07,176.46332
36,2012-09-14,226.47636
37,2012-09-21,285.8013
38,2012-09-28,274.81116
39,2012-10-05,280.69138
40,2012-10-12,265.98367
41,2012-10-19,244.71301
42,2012-10-26,236.4842
43,2012-11-02,227.76912
44,2012-11-09,215.70996
45,2012-11-16,209.6953
46,2012-11-23,202.46924
47,2012-11-30,199.15948
48,2012-12-07,201.5845
49,2012-12-14,195.84871
50,2012-12-21,211.59514
51,2012-12-28,213.81934
52,2013-01-04,222.17203
53,2013-01-11,232.14157
54,2013-01-18,172.0263
55,2013-01-25,256.1089
56,2013-02-01,256.5233
57,2013-02-08,271.43497
58,2013-02-15,281.97702
59,2013-02-22,302.6909
60,2013-03-01,312.64786
61,2013-03-08,323.7921
62,2013-03-15,329.9265
63,2013-03-22,326.88577
64,2013-03-29,330.83762
65,2013-04-05,324.82504
66,2013-04-12,335.25186
67,2013-04-19,305.58118
68,2013-04-26,336.92758
69,2013-05-03,353.17322
70,2013-05-10,355.553
71,2013-05-17,358.51608
72,2013-05-24,355.4823
73,2013-05-31,346.731
74,2013-06-07,324.65225
75,2013-06-14,271.6417
76,2013-06-21,342.16098
77,2013-06-28,327.41986
78,2013-07-05,252.92914
79,2013-07-12,265.3506
80,2013-07-19,289.61765
81,2013-07-26,226.69872
82,2013-08-02,254.40546
83,2013-08-09,258.06573
84,2013-08-16,247.73064
85,2013-08-23,281.7547
86,2013-08-30,306.3694
87,2013-09-06,302.22797
88,2013-09-13,280.91803
89,2013-09-20,292.10248
90,2013-09-27,179.13255
91,2013-10-04,263.7785
92,2013-10-11,204.39122
93,2013-10-18,245.85773
94,2013-10-25,242.28787
95,2013-11-01,227.51796
96,2013-11-08,224.56891
97,2013-11-15,219.21361
98,2013-11-22,210.10191
99,2013-11-29,205.05702
100,2013-12-06,209.9646
101,2013-12-13,209.83603
102,2013-12-20,211.17648
103,2013-12-27,216.3367
104,2014-01-03,222.71228
105,2014-01-10,232.10713
106,2014-01-17,243.84988
107,2014-01-24,256.99484
108,2014-01-31,242.39989
109,2014-02-07,271.59814
110,2014-02-14,284.14316
111,2014-02-21,304.77298
112,2014-02-28,313.61288
113,2014-03-07,311.5473
114,2014-03-14,327.70544
115,2014-03-21,335.46902
116,2014-03-28,333.27325
117,2014-04-04,343.39105
118,2014-04-11,351.327
119,2014-04-18,345.30322
120,2014-04-25,356.2743
121,2014-05-02,352.0587
122,2014-05-09,350.4181
123,2014-05-16,331.6289
124,2014-05-23,353.83725
125,2014-05-30,349.34503
126,2014-06-06,346.0836
127,2014-06-13,320.54532
128,2014-06-20,286.3955
129,2014-06-27,326.40375
130,2014-07-04,317.29535
131,2014-07-11,335.7573
132,2014-07-18,242.8674
133,2014-07-25,167.92815
134,2014-08-01,228.33597
135,2014-08-08,204.33815
136,2014-08-15,263.19366
137,2014-08-22,322.03604
138,2014-08-29,224.30928
139,2014-09-05,214.5262
140,2014-09-12,258.16495
141,2014-09-19,299.1741
142,2014-09-26,280.24155
143,2014-10-03,272.45523
144,2014-10-10,257.41534
145,2014-10-17,251.41417
146,2014-10-24,191.34387
147,2014-10-31,182.45026
148,2014-11-07,214.89723
149,2014-11-14,206.91484
150,2014-11-21,197.85866
151,2014-11-28,196.65959
152,2014-12-05,203.60779
153,2014-12-12,208.14732
154,2014-12-19,201.85156
155,2014-12-26,215.27222
