,Date,GHI
0,2012-01-31,225.39555
1,2012-02-29,278.78326
2,2012-03-31,321.432
3,2012-04-30,357.7575
4,2012-05-31,340.52435
5,2012-06-30,334.6647
6,2012-07-31,209.42978
7,2012-08-31,266.26025
8,2012-09-30,223.13826
9,2012-10-31,255.8464
10,2012-11-30,208.64305
11,2012-12-31,213.2262
12,2013-01-31,251.16508
13,2013-02-28,286.71988
14,2013-03-31,324.20712
15,2013-04-30,335.494
16,2013-05-31,354.16553
17,2013-06-30,312.84106
18,2013-07-31,290.6377
19,2013-08-31,250.88835
20,2013-09-30,267.8067
21,2013-10-31,242.75471
22,2013-11-30,220.41524
23,2013-12-31,212.08005
24,2014-01-31,243.79227
25,2014-02-28,277.38608
26,2014-03-31,322.1841
27,2014-04-30,350.6878
28,2014-05-31,346.45364
29,2014-06-30,336.7575
30,2014-07-31,253.8425
31,2014-08-31,234.34811
32,2014-09-30,242.64441
33,2014-10-31,224.03763
34,2014-11-30,200.52185
35,2014-12-31,206.54237
