,Date,GHI
0,2012-01-01,217.97127
1,2012-01-02,223.87398
2,2012-01-03,222.57361
3,2012-01-04,219.27237
4,2012-01-05,199.06607
5,2012-01-06,208.966
6,2012-01-07,229.176
7,2012-01-08,231.07707
8,2012-01-09,233.77759
9,2012-01-10,234.17792
10,2012-01-11,234.07835
11,2012-01-12,235.1788
12,2012-01-13,234.87875
13,2012-01-14,234.57884
14,2012-01-15,235.5791
15,2012-01-16,239.78114
16,2012-01-17,243.98265
17,2012-01-18,247.08348
18,2012-01-19,247.88416
19,2012-01-20,249.28477
20,2012-01-21,251.2855
21,2012-01-22,244.18353
22,2012-01-23,254.08649
23,2012-01-24,115.93537
24,2012-01-25,257.688
25,2012-01-26,261.58957
26,2012-01-27,264.39075
27,2012-01-28,266.49155
28,2012-01-29,264.4915
29,2012-01-30,267.2923
30,2012-01-31,268.39273
31,2012-02-01,257.48923
32,2012-02-02,261.39053
33,2012-02-03,264.99158
34,2012-02-04,138.7603
35,2012-02-05,268.6933
36,2012-02-06,269.89374
37,2012-02-07,265.69266
38,2012-02-08,267.1937
39,2012-02-09,270.8945
40,2012-02-10,274.49673
41,2012-02-11,280.39816
42,2012-02-12,275.89685
43,2012-02-13,269.5975
44,2012-02-14,287.1018
45,2012-02-15,286.3026
46,2012-02-16,287.00302
47,2012-02-17,294.70587
48,2012-02-18,291.4043
49,2012-02-19,296.90778
50,2012-02-20,299.60843
51,2012-02-21,295.60736
52,2012-02-22,302.3106
53,2012-02-23,304.31146
54,2012-02-24,306.91306
55,2012-02-25,308.01373
56,2012-02-26,310.5152
57,2012-02-27,312.21643
58,2012-02-28,313.0159
59,2012-03-01,288.3055
60,2012-03-02,301.51242
61,2012-03-03,303.91306
62,2012-03-04,306.11453
63,2012-03-05,305.3146
64,2012-03-06,308.1163
65,2012-03-07,309.71597
66,2012-03-08,309.41846
67,2012-03-09,314.52023
68,2012-03-10,314.1194
69,2012-03-11,317.1215
70,2012-03-12,317.02014
71,2012-03-13,323.12427
72,2012-03-14,324.52512
73,2012-03-15,325.92593
74,2012-03-16,327.22546
75,2012-03-17,328.42654
76,2012-03-18,329.22736
77,2012-03-19,331.42966
78,2012-03-20,322.12378
79,2012-03-21,331.1287
80,2012-03-22,332.4298
81,2012-03-23,335.43137
82,2012-03-24,336.63208
83,2012-03-25,337.53275
84,2012-03-26,333.9297
85,2012-03-27,333.53244
86,2012-03-28,335.5334
87,2012-03-29,338.93475
88,2012-03-30,336.63474
89,2012-03-31,338.9358
90,2012-04-01,338.33615
91,2012-04-02,339.43622
92,2012-04-03,342.03748
93,2012-04-04,338.93762
94,2012-04-05,341.83832
95,2012-04-06,342.0387
96,2012-04-07,345.04007
97,2012-04-08,341.83984
98,2012-04-09,343.14026
99,2012-04-10,345.74152
100,2012-04-11,337.82547
101,2012-04-12,343.64133
102,2012-04-13,342.34335
103,2012-04-14,342.44046
104,2012-04-15,340.53262
105,2012-04-16,338.23416
106,2012-04-17,335.94064
107,2012-04-18,340.83722
108,2012-04-19,173.28705
109,2012-04-20,346.7455
110,2012-04-21,344.94516
111,2012-04-22,351.94666
112,2012-04-23,346.24536
113,2012-04-24,350.74692
114,2012-04-25,349.7456
115,2012-04-26,350.94653
116,2012-04-27,354.7496
117,2012-04-28,352.24896
118,2012-04-29,359.5519
119,2012-04-30,358.05054
120,2012-05-01,342.84323
121,2012-05-02,343.44278
122,2012-05-03,342.8432
123,2012-05-04,343.6436
124,2012-05-05,344.2441
125,2012-05-06,339.54056
126,2012-05-07,338.6435
127,2012-05-08,340.14438
128,2012-05-09,341.44516
129,2012-05-10,342.04712
130,2012-05-11,332.13815
131,2012-05-12,299.92557
132,2012-05-13,343.04727
133,2012-05-14,345.54874
134,2012-05-15,346.44925
135,2012-05-16,346.54965
136,2012-05-17,346.7503
137,2012-05-18,345.5503
138,2012-05-19,345.95078
139,2012-05-20,344.04932
140,2012-05-21,341.24463
141,2012-05-22,348.65283
142,2012-05-23,348.85352
143,2012-05-24,349.05405
144,2012-05-25,352.1543
145,2012-05-26,342.64783
146,2012-05-27,346.24966
147,2012-05-28,350.9533
148,2012-05-29,352.15436
149,2012-05-30,351.55618
150,2012-05-31,350.8549
151,2012-06-01,341.54965
152,2012-06-02,332.9431
153,2012-06-03,305.83405
154,2012-06-04,306.72992
155,2012-06-05,306.13223
156,2012-06-06,302.33145
157,2012-06-07,336.24646
158,2012-06-08,341.8518
159,2012-06-09,343.1525
160,2012-06-10,343.55423
161,2012-06-11,345.35522
162,2012-06-12,346.3573
163,2012-06-13,290.11206
164,2012-06-14,252.73196
165,2012-06-15,226.01634
166,2012-06-16,343.45343
167,2012-06-17,313.1421
168,2012-06-18,325.94666
169,2012-06-19,285.72104
170,2012-06-20,307.0336
171,2012-06-21,290.83337
172,2012-06-22,316.5409
173,2012-06-23,300.64355
174,2012-06-24,316.74396
175,2012-06-25,307.03918
176,2012-06-26,320.8425
177,2012-06-27,308.03513
178,2012-06-28,256.531
179,2012-06-29,323.9504
180,2012-06-30,348.7585
181,2012-07-01,324.341
182,2012-07-02,225.47975
183,2012-07-03,205.38809
184,2012-07-04,113.573006
185,2012-07-05,276.4424
186,2012-07-06,315.74405
187,2012-07-07,284.20892
188,2012-07-08,312.34314
189,2012-07-09,304.84357
190,2012-07-10,199.58862
191,2012-07-11,178.99544
192,2012-07-12,324.945
193,2012-07-13,297.73627
194,2012-07-14,254.31499
195,2012-07-15,274.12564
196,2012-07-16,161.47174
197,2012-07-17,152.87852
198,2012-07-18,264.7182
199,2012-07-19,219.08176
200,2012-07-20,273.02274
201,2012-07-21,311.02863
202,2012-07-22,263.0079
203,2012-07-23,224.37721
204,2012-07-24,242.20511
205,2012-07-25,269.71942
206,2012-07-26,237.49312
207,2012-07-27,244.00421
208,2012-07-28,310.4411
209,2012-07-29,264.80142
210,2012-07-30,146.66579
211,2012-07-31,165.16109
212,2012-08-01,248.90587
213,2012-08-02,170.36783
214,2012-08-03,223.492
215,2012-08-04,190.88515
216,2012-08-05,225.61075
217,2012-08-06,207.69785
218,2012-08-07,290.41968
219,2012-08-08,214.3874
220,2012-08-09,313.53104
221,2012-08-10,298.12726
222,2012-08-11,298.24496
223,2012-08-12,190.5703
224,2012-08-13,236.29054
225,2012-08-14,312.73935
226,2012-08-15,324.1309
227,2012-08-16,321.53552
228,2012-08-17,226.90674
229,2012-08-18,231.5013
230,2012-08-19,139.15747
231,2012-08-20,304.93216
232,2012-08-21,285.6099
233,2012-08-22,229.28923
234,2012-08-23,237.79918
235,2012-08-24,184.76955
236,2012-08-25,158.6652
237,2012-08-26,236.09325
238,2012-08-27,176.08282
239,2012-08-28,294.01123
240,2012-08-29,210.86641
241,2012-08-30,309.02283
242,2012-08-31,201.24387
243,2012-09-01,308.21002
244,2012-09-02,279.39648
245,2012-09-03,303.41238
246,2012-09-04,181.54657
247,2012-09-05,102.433205
248,2012-09-06,235.39412
249,2012-09-07,207.94394
250,2012-09-08,145.07007
