,Date,GHI
0,2012-01-06,231.62988
1,2012-01-13,228.96405
2,2012-01-20,256.21698
3,2012-01-27,262.0024
4,2012-02-03,270.4354
5,2012-02-10,249.54149
6,2012-02-17,282.39554
7,2012-02-24,292.19547
8,2012-03-02,289.81134
9,2012-03-09,288.17773
10,2012-03-16,274.2618
11,2012-03-23,293.87668
12,2012-03-30,300.1049
13,2012-04-06,283.16757
14,2012-04-13,276.66998
15,2012-04-20,275.01675
16,2012-04-27,227.84744
17,2012-05-04,280.65338
18,2012-05-11,260.9481
19,2012-05-18,263.88736
20,2012-05-25,236.09727
21,2012-06-01,276.29266
22,2012-06-08,256.20856
23,2012-06-15,206.05652
24,2012-06-22,253.03375
25,2012-06-29,244.5452
26,2012-07-06,229.0438
27,2012-07-13,249.52013
28,2012-07-20,200.38127
29,2012-07-27,228.10954
30,2012-08-03,206.09825
31,2012-08-10,232.76639
32,2012-08-17,274.00348
33,2012-08-24,214.44827
34,2012-08-31,226.88312
35,2012-09-07,214.47916
36,2012-09-14,243.29427
37,2012-09-21,244.49588
38,2012-09-28,233.21901
39,2012-10-05,231.29706
40,2012-10-12,241.04202
41,2012-10-19,183.86713
42,2012-10-26,210.64108
43,2012-11-02,135.49748
44,2012-11-09,208.94449
45,2012-11-16,212.11523
46,2012-11-23,174.19456
47,2012-11-30,204.88144
48,2012-12-07,174.05711
49,2012-12-14,206.98152
50,2012-12-21,211.50464
51,2012-12-28,175.84473
52,2013-01-04,218.89091
53,2013-01-11,245.10239
54,2013-01-18,254.32419
55,2013-01-25,263.98727
56,2013-02-01,268.18842
57,2013-02-08,243.79492
58,2013-02-15,221.1447
59,2013-02-22,297.0861
60,2013-03-01,300.12103
61,2013-03-08,224.11351
62,2013-03-15,296.19626
63,2013-03-22,296.98492
64,2013-03-29,292.07562
65,2013-04-05,288.02698
66,2013-04-12,291.75812
67,2013-04-19,292.7879
68,2013-04-26,246.61511
69,2013-05-03,273.51263
70,2013-05-10,275.5831
71,2013-05-17,260.80344
72,2013-05-24,280.82733
73,2013-05-31,225.36908
74,2013-06-07,214.91478
75,2013-06-14,228.83948
76,2013-06-21,255.74402
77,2013-06-28,238.51247
78,2013-07-05,244.10056
79,2013-07-12,231.89218
80,2013-07-19,202.39716
81,2013-07-26,246.42566
82,2013-08-02,236.1776
83,2013-08-09,252.34636
84,2013-08-16,172.47836
85,2013-08-23,242.13737
86,2013-08-30,243.88388
87,2013-09-06,248.25177
88,2013-09-13,206.55103
89,2013-09-20,213.13313
90,2013-09-27,257.5291
91,2013-10-04,214.9454
92,2013-10-11,211.85693
93,2013-10-18,206.00931
94,2013-10-25,160.77112
95,2013-11-01,176.08406
96,2013-11-08,211.42319
97,2013-11-15,169.6544
98,2013-11-22,194.30846
99,2013-11-29,185.26463
100,2013-12-06,201.06528
101,2013-12-13,200.37018
102,2013-12-20,216.59746
103,2013-12-27,218.52705
104,2014-01-03,214.53299
105,2014-01-10,234.78725
106,2014-01-17,237.70723
107,2014-01-24,246.38449
108,2014-01-31,259.52478
109,2014-02-07,272.61136
110,2014-02-14,211.72377
111,2014-02-21,247.86455
112,2014-02-28,257.87576
113,2014-03-07,256.07623
114,2014-03-14,263.59692
115,2014-03-21,291.54398
116,2014-03-28,300.37708
117,2014-04-04,283.64236
118,2014-04-11,274.4302
119,2014-04-18,280.8424
120,2014-04-25,270.5299
121,2014-05-02,266.14746
122,2014-05-09,209.20258
123,2014-05-16,278.761
124,2014-05-23,279.70468
125,2014-05-30,274.4234
126,2014-06-06,268.08786
127,2014-06-13,260.55704
128,2014-06-20,237.87862
129,2014-06-27,269.01065
130,2014-07-04,240.01924
131,2014-07-11,217.04247
132,2014-07-18,255.13898
133,2014-07-25,238.25804
134,2014-08-01,195.41805
135,2014-08-08,222.06583
136,2014-08-15,276.9704
137,2014-08-22,243.72995
138,2014-08-29,189.65123
139,2014-09-05,214.2377
140,2014-09-12,269.21408
141,2014-09-19,185.74767
142,2014-09-26,224.94467
143,2014-10-03,219.42372
144,2014-10-10,200.60576
145,2014-10-17,199.2872
146,2014-10-24,181.743
147,2014-10-31,209.96654
148,2014-11-07,195.50551
149,2014-11-14,173.02827
150,2014-11-21,200.66025
151,2014-11-28,192.9895
152,2014-12-05,203.57286
153,2014-12-12,164.6532
154,2014-12-19,155.2648
155,2014-12-26,186.85828
