,Date,GHI
0,2012-01-31,238.89476
1,2012-02-29,279.99158
2,2012-03-31,281.8745
3,2012-04-30,254.99242
4,2012-05-31,255.88422
5,2012-06-30,242.85701
6,2012-07-31,213.95345
7,2012-08-31,211.48022
8,2012-09-30,242.87375
9,2012-10-31,233.80612
10,2012-11-30,178.98753
11,2012-12-31,221.69919
12,2013-01-31,240.33304
13,2013-02-28,227.32562
14,2013-03-31,274.84143
15,2013-04-30,276.1723
16,2013-05-31,286.09647
17,2013-06-30,245.4372
18,2013-07-31,199.65341
19,2013-08-31,230.28854
20,2013-09-30,230.18768
21,2013-10-31,180.42621
22,2013-11-30,179.89636
23,2013-12-31,210.23907
24,2014-01-31,242.07845
25,2014-02-28,269.56686
26,2014-03-31,295.37994
27,2014-04-30,268.69122
28,2014-05-31,269.9655
29,2014-06-30,262.13315
30,2014-07-31,194.73021
31,2014-08-31,223.72583
32,2014-09-30,233.10005
33,2014-10-31,185.79686
34,2014-11-30,192.3643
35,2014-12-31,134.53117
