,Date,GHI
0,2012-01-01,224.03558
1,2012-01-02,234.81647
2,2012-01-03,235.51547
3,2012-01-04,236.31383
4,2012-01-05,238.01083
5,2012-01-06,222.73329
6,2012-01-07,242.70345
7,2012-01-08,250.09148
8,2012-01-09,246.39761
9,2012-01-10,211.65846
10,2012-01-11,224.45631
11,2012-01-12,208.94362
12,2012-01-13,219.43312
13,2012-01-14,253.0863
14,2012-01-15,261.2733
15,2012-01-16,257.7758
16,2012-01-17,262.37183
17,2012-01-18,263.1702
18,2012-01-19,261.17365
19,2012-01-20,256.28204
20,2012-01-21,259.5758
21,2012-01-22,266.36493
22,2012-01-23,264.0684
23,2012-01-24,268.16232
24,2012-01-25,271.956
25,2012-01-26,271.75967
26,2012-01-27,276.6485
27,2012-01-28,234.53209
28,2012-01-29,226.13399
29,2012-01-30,276.54782
30,2012-01-31,279.44452
31,2012-02-01,264.6651
32,2012-02-02,270.95795
33,2012-02-03,272.25574
34,2012-02-04,275.75027
35,2012-02-05,275.84982
36,2012-02-06,278.1464
37,2012-02-07,257.47626
38,2012-02-08,254.7889
39,2012-02-09,268.36154
40,2012-02-10,277.6487
41,2012-02-11,220.22835
42,2012-02-12,275.05307
43,2012-02-13,280.7426
44,2012-02-14,287.83044
45,2012-02-15,251.0474
46,2012-02-16,287.6317
47,2012-02-17,286.33408
48,2012-02-18,293.82404
49,2012-02-19,296.02097
50,2012-02-20,295.11905
51,2012-02-21,297.71503
52,2012-02-22,297.91464
53,2012-02-23,289.33167
54,2012-02-24,287.93042
55,2012-02-25,301.50888
56,2012-02-26,302.10794
57,2012-02-27,305.9017
58,2012-02-28,307.49905
59,2012-03-01,291.62686
60,2012-03-02,287.23514
61,2012-03-03,286.63593
62,2012-03-04,290.12964
63,2012-03-05,292.72134
64,2012-03-06,290.92102
65,2012-03-07,291.31757
66,2012-03-08,298.01553
67,2012-03-09,291.92685
68,2012-03-10,300.01187
69,2012-03-11,296.9176
70,2012-03-12,295.81613
71,2012-03-13,224.39362
72,2012-03-14,242.50096
73,2012-03-15,275.6732
74,2012-03-16,291.7129
75,2012-03-17,302.40793
76,2012-03-18,301.60938
77,2012-03-19,290.3243
78,2012-03-20,250.08084
79,2012-03-21,270.9512
80,2012-03-22,300.71146
81,2012-03-23,304.60422
82,2012-03-24,305.60345
83,2012-03-25,306.00275
84,2012-03-26,306.10278
85,2012-03-27,306.30258
86,2012-03-28,306.60202
87,2012-03-29,306.70197
88,2012-03-30,302.0097
89,2012-03-31,299.51343
90,2012-04-01,303.0076
91,2012-04-02,302.6085
92,2012-04-03,302.80817
93,2012-04-04,302.50836
94,2012-04-05,301.01123
95,2012-04-06,273.75064
96,2012-04-07,255.28767
97,2012-04-08,290.52377
98,2012-04-09,290.42578
99,2012-04-10,291.3309
100,2012-04-11,224.62668
101,2012-04-12,286.53104
102,2012-04-13,297.51675
103,2012-04-14,293.5199
104,2012-04-15,301.61075
105,2012-04-16,296.41782
106,2012-04-17,297.21857
107,2012-04-18,276.84668
108,2012-04-19,282.84174
109,2012-04-20,292.32373
110,2012-04-21,286.93
111,2012-04-22,250.90234
112,2012-04-23,237.99825
113,2012-04-24,292.8254
114,2012-04-25,195.24693
115,2012-04-26,195.17995
116,2012-04-27,193.18419
117,2012-04-28,263.56937
118,2012-04-29,288.5311
119,2012-04-30,261.4746
120,2012-05-01,285.23715
121,2012-05-02,284.53424
122,2012-05-03,284.0373
123,2012-05-04,286.73462
124,2012-05-05,285.63232
125,2012-05-06,287.53403
126,2012-05-07,285.93433
127,2012-05-08,279.74487
128,2012-05-09,283.5383
129,2012-05-10,191.44339
130,2012-05-11,282.93994
131,2012-05-12,259.78058
132,2012-05-13,282.74
133,2012-05-14,238.02884
134,2012-05-15,249.59337
135,2012-05-16,265.06946
136,2012-05-17,283.73807
137,2012-05-18,285.43637
138,2012-05-19,283.84058
139,2012-05-20,270.16016
140,2012-05-21,198.80809
141,2012-05-22,280.34244
142,2012-05-23,278.9433
143,2012-05-24,278.2483
144,2012-05-25,269.4623
145,2012-05-26,177.27086
146,2012-05-27,218.2475
147,2012-05-28,255.19785
148,2012-05-29,168.01321
149,2012-05-30,263.57397
150,2012-05-31,264.06882
151,2012-06-01,269.77844
152,2012-06-02,301.50378
153,2012-06-03,298.90988
154,2012-06-04,299.7064
155,2012-06-05,270.54706
156,2012-06-06,208.24863
157,2012-06-07,271.15775
158,2012-06-08,282.32013
159,2012-06-09,273.95844
160,2012-06-10,239.00595
161,2012-06-11,300.89633
162,2012-06-12,293.4213
163,2012-06-13,225.96388
164,2012-06-14,176.0556
165,2012-06-15,209.0718
166,2012-06-16,195.77878
167,2012-06-17,234.38
168,2012-06-18,143.25314
169,2012-06-19,212.26396
170,2012-06-20,252.58206
171,2012-06-21,231.82411
172,2012-06-22,255.68002
173,2012-06-23,220.34657
174,2012-06-24,299.80228
175,2012-06-25,278.64197
176,2012-06-26,263.95078
177,2012-06-27,190.41933
178,2012-06-28,267.24222
179,2012-06-29,260.7339
180,2012-06-30,289.9002
181,2012-07-01,248.96689
182,2012-07-02,187.79562
183,2012-07-03,179.07634
184,2012-07-04,263.65555
185,2012-07-05,298.58008
186,2012-07-06,202.97765
187,2012-07-07,164.63167
188,2012-07-08,232.01082
189,2012-07-09,229.72122
190,2012-07-10,186.50276
191,2012-07-11,239.2563
192,2012-07-12,304.86966
193,2012-07-13,278.62753
194,2012-07-14,232.01765
195,2012-07-15,176.1044
196,2012-07-16,230.56133
197,2012-07-17,251.12535
198,2012-07-18,217.16882
199,2012-07-19,185.76505
200,2012-07-20,138.04315
201,2012-07-21,131.97319
202,2012-07-22,241.01924
203,2012-07-23,293.11652
204,2012-07-24,302.20233
205,2012-07-25,181.29784
206,2012-07-26,196.15437
207,2012-07-27,293.50693
208,2012-07-28,263.24463
209,2012-07-29,188.57426
210,2012-07-30,303.40164
211,2012-07-31,260.9489
212,2012-08-01,309.09436
213,2012-08-02,177.51765
214,2012-08-03,87.54575
215,2012-08-04,181.48042
216,2012-08-05,258.46066
217,2012-08-06,203.98628
218,2012-08-07,238.9831
219,2012-08-08,257.42096
220,2012-08-09,251.16646
221,2012-08-10,202.57564
222,2012-08-11,219.55655
223,2012-08-12,251.07556
224,2012-08-13,236.48685
225,2012-08-14,286.23187
226,2012-08-15,300.90778
227,2012-08-16,279.52255
228,2012-08-17,243.39813
229,2012-08-18,282.11844
230,2012-08-19,295.0317
231,2012-08-20,275.45895
232,2012-08-21,230.05057
233,2012-08-22,266.76175
234,2012-08-23,206.20284
235,2012-08-24,280.524
236,2012-08-25,142.13326
237,2012-08-26,199.15631
238,2012-08-27,194.27231
239,2012-08-28,193.50694
240,2012-08-29,247.79498
241,2012-08-30,202.7748
242,2012-08-31,217.41847
243,2012-09-01,257.27585
244,2012-09-02,288.437
245,2012-09-03,158.62935
246,2012-09-04,211.62556
247,2012-09-05,216.71634
248,2012-09-06,228.34515
249,2012-09-07,194.89626
250,2012-09-08,141.78069
251,2012-09-09,206.06665
252,2012-09-10,228.23677
253,2012-09-11,275.45352
254,2012-09-12,252.90184
255,2012-09-13,209.0749
256,2012-09-14,246.60388
257,2012-09-15,263.76324
258,2012-09-16,261.77106
259,2012-09-17,254.6619
260,2012-09-18,227.0908
261,2012-09-19,179.74478
262,2012-09-20,203.06088
263,2012-09-21,262.07437
264,2012-09-22,277.3503
265,2012-09-23,274.75375
266,2012-09-24,273.75543
267,2012-09-25,266.06342
268,2012-09-26,235.3173
269,2012-09-27,237.51373
270,2012-09-28,257.08014
271,2012-09-29,223.31955
272,2012-09-30,199.24782
273,2012-10-01,179.09113
274,2012-10-02,208.18942
275,2012-10-03,225.94777
276,2012-10-04,257.38147
277,2012-10-05,235.82076
278,2012-10-06,214.22797
279,2012-10-07,225.91812
280,2012-10-08,212.83853
281,2012-10-09,246.79773
282,2012-10-10,251.79068
283,2012-10-11,251.69087
284,2012-10-12,242.70546
285,2012-10-13,240.90764
286,2012-10-14,237.91158
287,2012-10-15,217.64749
288,2012-10-16,213.57732
289,2012-10-17,226.13655
290,2012-10-18,226.5283
291,2012-10-19,139.3882
292,2012-10-20,119.09607
293,2012-10-21,151.7855
294,2012-10-22,193.6123
295,2012-10-23,154.57278
296,2012-10-24,202.98106
297,2012-10-25,230.62485
298,2012-10-26,224.73969
299,2012-10-27,229.62689
300,2012-10-28,221.53326
301,2012-10-29,190.09456
302,2012-10-30,162.34428
303,2012-10-31,60.40478
304,2012-11-01,50.41005
305,2012-11-02,56.603226
306,2012-11-03,170.74026
307,2012-11-04,185.52437
308,2012-11-05,166.81564
309,2012-11-06,195.59602
310,2012-11-07,210.85947
311,2012-11-08,211.1564
312,2012-11-09,208.86072
313,2012-11-10,212.05505
314,2012-11-11,213.85263
315,2012-11-12,211.45596
316,2012-11-13,214.4511
317,2012-11-14,217.3465
318,2012-11-15,216.64755
319,2012-11-16,214.15173
