,Date,GHI
0,2012-01-31,636.0122
1,2012-02-29,504.4442
2,2012-03-31,262.40686
3,2012-04-30,734.51917
4,2012-05-31,690.7675
5,2012-06-30,635.46185
6,2012-07-31,593.5362
7,2012-08-31,541.242
8,2012-09-30,396.41846
9,2012-10-31,541.65
10,2012-11-30,450.77045
11,2012-12-31,176.30827
12,2013-01-31,438.5563
13,2013-02-28,454.44342
14,2013-03-31,273.14255
15,2013-04-30,642.5979
16,2013-05-31,693.8511
17,2013-06-30,650.18115
18,2013-07-31,593.7341
19,2013-08-31,572.4238
20,2013-09-30,688.2681
21,2013-10-31,524.4389
22,2013-11-30,448.21176
23,2013-12-31,409.94092
24,2014-01-31,446.86823
25,2014-02-28,472.20468
26,2014-03-31,291.31677
27,2014-04-30,602.211
28,2014-05-31,688.549
29,2014-06-30,657.9329
30,2014-07-31,701.47565
31,2014-08-31,616.0138
32,2014-09-30,609.753
33,2014-10-31,544.2907
34,2014-11-30,438.52502
35,2014-12-31,144.75261
