,Date,GHI
0,2012-01-06,407.3819
1,2012-01-13,416.4627
2,2012-01-20,433.94452
3,2012-01-27,419.47458
4,2012-02-03,468.14603
5,2012-02-10,487.34326
6,2012-02-17,514.8609
7,2012-02-24,557.0004
8,2012-03-02,557.7735
9,2012-03-09,565.74524
10,2012-03-16,603.04236
11,2012-03-23,621.90515
12,2012-03-30,624.4358
13,2012-04-06,624.18524
14,2012-04-13,631.75073
15,2012-04-20,598.2344
16,2012-04-27,657.0236
17,2012-05-04,676.1986
18,2012-05-11,694.4305
19,2012-05-18,688.91534
20,2012-05-25,705.12885
21,2012-06-01,694.54474
22,2012-06-08,664.47363
23,2012-06-15,646.20074
24,2012-06-22,691.60425
25,2012-06-29,683.3029
26,2012-07-06,639.0192
27,2012-07-13,508.63202
28,2012-07-20,630.64594
29,2012-07-27,618.63745
30,2012-08-03,623.7096
31,2012-08-10,546.5154
32,2012-08-17,517.64557
33,2012-08-24,521.7357
34,2012-08-31,575.72174
35,2012-09-07,431.19684
36,2012-09-14,503.5118
37,2012-09-21,606.774
38,2012-09-28,601.3135
39,2012-10-05,581.7347
40,2012-10-12,565.4084
41,2012-10-19,531.47894
42,2012-10-26,507.92065
43,2012-11-02,494.5252
44,2012-11-09,472.66324
45,2012-11-16,448.97855
46,2012-11-23,428.45648
47,2012-11-30,414.2947
48,2012-12-07,408.7251
49,2012-12-14,368.88705
50,2012-12-21,405.50107
51,2012-12-28,410.64148
52,2013-01-04,405.27908
53,2013-01-11,426.24323
54,2013-01-18,418.70444
55,2013-01-25,464.7218
56,2013-02-01,437.19577
57,2013-02-08,478.34158
58,2013-02-15,501.42215
59,2013-02-22,552.61066
60,2013-03-01,570.4539
61,2013-03-08,595.81854
62,2013-03-15,615.5407
63,2013-03-22,619.11975
64,2013-03-29,606.89966
65,2013-04-05,651.80414
66,2013-04-12,651.58984
67,2013-04-19,645.4309
68,2013-04-26,637.93695
69,2013-05-03,683.1065
70,2013-05-10,667.04315
71,2013-05-17,697.1382
72,2013-05-24,708.02704
73,2013-05-31,709.3756
74,2013-06-07,707.3581
75,2013-06-14,579.6052
76,2013-06-21,710.0291
77,2013-06-28,663.0594
78,2013-07-05,616.325
79,2013-07-12,597.1592
80,2013-07-19,638.5486
81,2013-07-26,567.5969
82,2013-08-02,580.78107
83,2013-08-09,610.0093
84,2013-08-16,536.655
85,2013-08-23,672.07947
86,2013-08-30,661.0585
87,2013-09-06,662.0971
88,2013-09-13,635.5163
89,2013-09-20,597.4283
90,2013-09-27,495.71286
91,2013-10-04,553.2882
92,2013-10-11,544.5715
93,2013-10-18,540.9686
94,2013-10-25,512.2725
95,2013-11-01,487.66888
96,2013-11-08,447.46213
97,2013-11-15,456.64563
98,2013-11-22,434.66348
99,2013-11-29,422.81696
100,2013-12-06,423.9575
101,2013-12-13,415.00677
102,2013-12-20,396.55392
103,2013-12-27,415.21774
104,2014-01-03,412.7554
105,2014-01-10,425.14948
106,2014-01-17,442.7258
107,2014-01-24,464.14594
108,2014-01-31,468.25198
109,2014-02-07,473.05807
110,2014-02-14,491.67624
111,2014-02-21,563.08386
112,2014-02-28,554.85236
113,2014-03-07,585.0836
114,2014-03-14,599.8383
115,2014-03-21,639.4639
116,2014-03-28,602.177
117,2014-04-04,654.36273
118,2014-04-11,674.85486
119,2014-04-18,620.7383
120,2014-04-25,698.4067
121,2014-05-02,682.26556
122,2014-05-09,653.19135
123,2014-05-16,675.6013
124,2014-05-23,678.90765
125,2014-05-30,682.86304
126,2014-06-06,691.62213
127,2014-06-13,670.3414
128,2014-06-20,690.4504
129,2014-06-27,682.0414
130,2014-07-04,570.9247
131,2014-07-11,669.81525
132,2014-07-18,570.9389
133,2014-07-25,574.6743
134,2014-08-01,568.29956
135,2014-08-08,507.56
136,2014-08-15,643.21875
137,2014-08-22,657.725
138,2014-08-29,591.50287
139,2014-09-05,538.30206
140,2014-09-12,587.4933
141,2014-09-19,637.73474
142,2014-09-26,609.9951
143,2014-10-03,584.4188
144,2014-10-10,559.81036
145,2014-10-17,534.57684
146,2014-10-24,490.55908
147,2014-10-31,392.60785
148,2014-11-07,472.07437
149,2014-11-14,452.69717
150,2014-11-21,434.70486
151,2014-11-28,418.2517
152,2014-12-05,421.83426
153,2014-12-12,410.59573
154,2014-12-19,383.7079
155,2014-12-26,399.90958
