,Date,GHI
0,2012-01-31,430.68262
1,2012-02-29,498.68036
2,2012-03-31,589.57025
3,2012-04-30,667.3212
4,2012-05-31,692.55005
5,2012-06-30,682.0437
6,2012-07-31,549.95844
7,2012-08-31,615.8694
8,2012-09-30,580.14624
9,2012-10-31,544.7371
10,2012-11-30,455.25775
11,2012-12-31,389.6468
12,2013-01-31,448.31464
13,2013-02-28,462.73105
14,2013-03-31,630.3512
15,2013-04-30,657.71436
16,2013-05-31,703.9061
17,2013-06-30,620.3365
18,2013-07-31,610.5307
19,2013-08-31,604.5297
20,2013-09-30,574.40247
21,2013-10-31,531.3743
22,2013-11-30,443.81076
23,2013-12-31,416.12564
24,2014-01-31,436.46857
25,2014-02-28,474.32916
26,2014-03-31,568.62604
27,2014-04-30,655.2661
28,2014-05-31,678.77277
29,2014-06-30,697.2495
30,2014-07-31,638.62225
31,2014-08-31,571.6365
32,2014-09-30,620.9126
33,2014-10-31,529.2947
34,2014-11-30,394.37735
35,2014-12-31,393.32092
