,Date,GHI
0,2012-01-01,405.71344
1,2012-01-02,405.41437
2,2012-01-03,404.81573
3,2012-01-04,395.61496
4,2012-01-05,405.7142
5,2012-01-06,418.4117
6,2012-01-07,401.71512
7,2012-01-08,418.61145
8,2012-01-09,414.31207
9,2012-01-10,418.91153
10,2012-01-11,371.43515
11,2012-01-12,425.21033
12,2012-01-13,429.9092
13,2012-01-14,423.31143
14,2012-01-15,408.6158
15,2012-01-16,427.71048
16,2012-01-17,438.50778
17,2012-01-18,439.2073
18,2012-01-19,444.20724
19,2012-01-20,445.90668
20,2012-01-21,450.2067
21,2012-01-22,358.6483
22,2012-01-23,456.30487
23,2012-01-24,304.62418
24,2012-01-25,381.1175
25,2012-01-26,463.00388
26,2012-01-27,470.40295
27,2012-01-28,471.4027
28,2012-01-29,470.1022
29,2012-01-30,478.2014
30,2012-01-31,483.10104
31,2012-02-01,473.10257
32,2012-02-02,477.30133
33,2012-02-03,394.70087
34,2012-02-04,481.00354
35,2012-02-05,476.0018
36,2012-02-06,481.5012
37,2012-02-07,482.70044
38,2012-02-08,485.4004
39,2012-02-09,493.59903
40,2012-02-10,499.39767
41,2012-02-11,457.70047
42,2012-02-12,510.0956
43,2012-02-13,515.7941
44,2012-02-14,511.1959
45,2012-02-15,519.19385
46,2012-02-16,475.1945
47,2012-02-17,508.59772
48,2012-02-18,536.79095
49,2012-02-19,541.2909
50,2012-02-20,546.4899
51,2012-02-21,547.68994
52,2012-02-22,556.18805
53,2012-02-23,556.0884
54,2012-02-24,561.6871
55,2012-02-25,566.1864
56,2012-02-26,569.286
57,2012-02-27,574.68475
58,2012-02-28,577.48486
59,2012-03-01,543.8905
60,2012-03-02,551.2895
61,2012-03-03,550.6903
62,2012-03-04,553.9886
63,2012-03-05,542.6909
64,2012-03-06,550.49005
65,2012-03-07,550.1899
66,2012-03-08,555.889
67,2012-03-09,568.8859
68,2012-03-10,575.6858
69,2012-03-11,584.18396
70,2012-03-12,589.283
71,2012-03-13,593.4827
72,2012-03-14,596.38214
73,2012-03-15,601.0817
74,2012-03-16,600.9807
