,Date,GHI
0,2012-01-31,490.29105
1,2012-02-29,647.7745
2,2012-03-31,625.3245
3,2012-04-30,686.5355
4,2012-05-31,622.71576
5,2012-06-30,443.1512
6,2012-07-31,658.74457
7,2012-08-31,593.99615
8,2012-09-30,566.18854
9,2012-10-31,463.27856
10,2012-11-30,480.9905
11,2012-12-31,395.4437
12,2013-01-31,505.0617
13,2013-02-28,612.1468
14,2013-03-31,628.3376
15,2013-04-30,650.4178
16,2013-05-31,505.53976
17,2013-06-30,442.06418
18,2013-07-31,519.7903
19,2013-08-31,547.0508
20,2013-09-30,549.2454
21,2013-10-31,585.90247
22,2013-11-30,411.51306
23,2013-12-31,517.5061
24,2014-01-31,698.969
25,2014-02-28,569.52045
26,2014-03-31,627.29407
27,2014-04-30,680.5791
28,2014-05-31,497.3713
29,2014-06-30,558.17957
30,2014-07-31,495.3182
31,2014-08-31,560.7881
32,2014-09-30,488.42407
33,2014-10-31,475.37253
34,2014-11-30,346.11133
35,2014-12-31,419.81793
