,Date,GHI
0,2012-01-06,528.8051
1,2012-01-13,514.0371
2,2012-01-20,600.976
3,2012-01-27,618.86475
4,2012-02-03,553.07996
5,2012-02-10,535.1753
6,2012-02-17,618.9303
7,2012-02-24,649.5283
8,2012-03-02,623.53467
9,2012-03-09,603.0927
10,2012-03-16,597.4706
11,2012-03-23,671.7791
12,2012-03-30,599.7865
13,2012-04-06,656.40857
14,2012-04-13,595.39703
15,2012-04-20,602.38416
16,2012-04-27,544.589
17,2012-05-04,610.5248
18,2012-05-11,604.34875
19,2012-05-18,602.1348
20,2012-05-25,606.68866
21,2012-06-01,622.6775
22,2012-06-08,556.2755
23,2012-06-15,540.0421
24,2012-06-22,551.37244
25,2012-06-29,474.67642
26,2012-07-06,632.5393
27,2012-07-13,559.8191
28,2012-07-20,597.6867
29,2012-07-27,602.8507
30,2012-08-03,636.7483
31,2012-08-10,562.8803
32,2012-08-17,509.04993
33,2012-08-24,510.22375
34,2012-08-31,552.51434
35,2012-09-07,607.081
36,2012-09-14,618.17395
37,2012-09-21,575.5338
38,2012-09-28,612.35364
39,2012-10-05,603.84503
40,2012-10-12,560.1459
41,2012-10-19,478.97766
42,2012-10-26,421.35287
43,2012-11-02,460.05322
44,2012-11-09,489.9459
45,2012-11-16,533.69305
46,2012-11-23,443.51013
47,2012-11-30,547.027
48,2012-12-07,410.494
49,2012-12-14,520.4827
50,2012-12-21,390.27118
51,2012-12-28,382.54712
52,2013-01-04,537.7621
53,2013-01-11,511.8917
54,2013-01-18,572.68854
55,2013-01-25,608.02496
56,2013-02-01,609.68854
57,2013-02-08,539.26074
58,2013-02-15,424.70807
59,2013-02-22,661.44867
60,2013-03-01,658.0969
61,2013-03-08,514.359
62,2013-03-15,602.3987
63,2013-03-22,677.1515
64,2013-03-29,654.5999
65,2013-04-05,623.292
66,2013-04-12,626.3793
67,2013-04-19,626.02716
68,2013-04-26,623.1134
69,2013-05-03,553.9416
70,2013-05-10,584.83215
71,2013-05-17,637.8169
72,2013-05-24,630.03394
73,2013-05-31,522.29877
74,2013-06-07,577.2966
75,2013-06-14,466.39462
76,2013-06-21,454.64194
77,2013-06-28,597.81854
78,2013-07-05,538.5559
79,2013-07-12,453.75275
80,2013-07-19,454.65286
81,2013-07-26,518.48157
82,2013-08-02,534.6865
83,2013-08-09,590.51886
84,2013-08-16,592.76337
85,2013-08-23,633.99786
86,2013-08-30,580.2451
87,2013-09-06,515.695
88,2013-09-13,458.8107
89,2013-09-20,509.83157
90,2013-09-27,659.2134
91,2013-10-04,633.1934
92,2013-10-11,555.8491
93,2013-10-18,518.5249
94,2013-10-25,525.089
95,2013-11-01,495.7206
96,2013-11-08,532.7882
97,2013-11-15,453.63516
98,2013-11-22,517.89343
99,2013-11-29,500.91373
100,2013-12-06,484.17374
101,2013-12-13,444.80496
102,2013-12-20,490.219
103,2013-12-27,485.38614
104,2014-01-03,510.13455
105,2014-01-10,443.90607
106,2014-01-17,554.8148
107,2014-01-24,552.50635
108,2014-01-31,594.1392
109,2014-02-07,628.8967
110,2014-02-14,568.74854
111,2014-02-21,570.61115
112,2014-02-28,569.4096
113,2014-03-07,546.05994
114,2014-03-14,674.50793
115,2014-03-21,589.36304
116,2014-03-28,674.9027
117,2014-04-04,638.05475
118,2014-04-11,663.7315
119,2014-04-18,661.7421
120,2014-04-25,589.97363
121,2014-05-02,489.41867
122,2014-05-09,521.68896
123,2014-05-16,634.103
124,2014-05-23,603.63916
125,2014-05-30,607.5512
126,2014-06-06,608.3085
127,2014-06-13,611.66626
128,2014-06-20,604.575
129,2014-06-27,608.9537
130,2014-07-04,616.83594
131,2014-07-11,480.0761
132,2014-07-18,580.5172
133,2014-07-25,533.1424
134,2014-08-01,594.4037
135,2014-08-08,571.3525
136,2014-08-15,569.44775
137,2014-08-22,580.81165
138,2014-08-29,561.2268
139,2014-09-05,541.1434
140,2014-09-12,652.9428
141,2014-09-19,607.6565
142,2014-09-26,544.37134
143,2014-10-03,578.83234
144,2014-10-10,539.4586
145,2014-10-17,405.31854
146,2014-10-24,496.97137
147,2014-10-31,448.29828
148,2014-11-07,558.80756
149,2014-11-14,469.75296
150,2014-11-21,340.31927
151,2014-11-28,338.06378
152,2014-12-05,524.72174
153,2014-12-12,427.04782
154,2014-12-19,342.8864
155,2014-12-26,381.44333
