,Date,GHI
0,2012-01-31,503.91003
1,2012-02-29,636.08673
2,2012-03-31,637.95404
3,2012-04-30,588.63745
4,2012-05-31,596.73596
5,2012-06-30,573.95386
6,2012-07-31,654.33575
7,2012-08-31,431.02887
8,2012-09-30,576.71606
9,2012-10-31,444.84042
10,2012-11-30,531.9081
11,2012-12-31,487.78574
12,2013-01-31,506.61362
13,2013-02-28,682.7173
14,2013-03-31,665.8498
15,2013-04-30,620.12866
16,2013-05-31,574.0158
17,2013-06-30,517.0759
18,2013-07-31,609.219
19,2013-08-31,564.4622
20,2013-09-30,615.46387
21,2013-10-31,561.17975
22,2013-11-30,489.13257
23,2013-12-31,470.2655
24,2014-01-31,503.4246
25,2014-02-28,624.9111
26,2014-03-31,619.9869
27,2014-04-30,609.9587
28,2014-05-31,541.9515
29,2014-06-30,606.07916
30,2014-07-31,634.3146
31,2014-08-31,614.5346
32,2014-09-30,580.99457
33,2014-10-31,514.05756
34,2014-11-30,389.42194
35,2014-12-31,375.90616
