,Date,GHI
0,2012-01-01,592.0497
1,2012-01-02,573.44806
2,2012-01-03,594.5496
3,2012-01-04,456.14755
4,2012-01-05,501.3668
5,2012-01-06,571.35455
6,2012-01-07,582.0519
7,2012-01-08,302.06802
8,2012-01-09,493.55652
9,2012-01-10,490.75793
10,2012-01-11,424.85995
11,2012-01-12,494.14114
12,2012-01-13,587.448
13,2012-01-14,600.3487
14,2012-01-15,535.9452
15,2012-01-16,621.24713
16,2012-01-17,580.3484
17,2012-01-18,625.0468
18,2012-01-19,620.64716
19,2012-01-20,610.14667
20,2012-01-21,626.04663
21,2012-01-22,611.94446
22,2012-01-23,628.64655
23,2012-01-24,635.3462
24,2012-01-25,641.04596
25,2012-01-26,635.3461
26,2012-01-27,631.1463
27,2012-01-28,613.34515
28,2012-01-29,564.64386
29,2012-01-30,626.84326
30,2012-01-31,568.9545
31,2012-02-01,623.344
32,2012-02-02,570.8558
33,2012-02-03,477.66745
34,2012-02-04,556.35046
35,2012-02-05,538.1566
36,2012-02-06,462.46176
37,2012-02-07,582.65845
38,2012-02-08,557.94354
39,2012-02-09,511.9434
40,2012-02-10,394.47165
41,2012-02-11,615.4493
42,2012-02-12,600.8459
43,2012-02-13,578.0464
44,2012-02-14,658.6445
45,2012-02-15,516.4392
46,2012-02-16,630.54663
47,2012-02-17,616.94867
48,2012-02-18,659.345
49,2012-02-19,673.3404
50,2012-02-20,682.54315
51,2012-02-21,681.2434
52,2012-02-22,612.25635
53,2012-02-23,638.1343
54,2012-02-24,681.3436
55,2012-02-25,674.1437
56,2012-02-26,679.4434
57,2012-02-27,675.2437
58,2012-02-28,651.04443
59,2012-03-01,629.8537
60,2012-03-02,653.6462
61,2012-03-03,638.54645
62,2012-03-04,606.44574
63,2012-03-05,544.5559
64,2012-03-06,664.9448
65,2012-03-07,631.8423
66,2012-03-08,661.34393
67,2012-03-09,621.65106
68,2012-03-10,551.15137
69,2012-03-11,619.45
70,2012-03-12,524.17334
71,2012-03-13,499.5533
72,2012-03-14,563.0523
73,2012-03-15,546.7629
74,2012-03-16,611.75183
75,2012-03-17,641.2418
76,2012-03-18,687.2429
77,2012-03-19,684.34357
78,2012-03-20,681.3437
79,2012-03-21,680.3439
80,2012-03-22,679.3436
81,2012-03-23,682.34436
82,2012-03-24,690.64264
83,2012-03-25,693.24286
84,2012-03-26,698.24274
85,2012-03-27,607.4517
86,2012-03-28,612.0505
87,2012-03-29,552.5513
88,2012-03-30,602.9421
89,2012-03-31,608.74896
90,2012-04-01,670.04254
91,2012-04-02,629.0429
92,2012-04-03,646.4525
93,2012-04-04,664.9421
94,2012-04-05,695.3434
95,2012-04-06,674.844
96,2012-04-07,682.6425
97,2012-04-08,608.0498
98,2012-04-09,656.0482
99,2012-04-10,641.239
100,2012-04-11,685.8436
101,2012-04-12,547.75385
102,2012-04-13,569.862
103,2012-04-14,495.7535
104,2012-04-15,554.25415
105,2012-04-16,658.5473
106,2012-04-17,662.1464
107,2012-04-18,626.34344
108,2012-04-19,633.74896
109,2012-04-20,654.54694
110,2012-04-21,480.05063
111,2012-04-22,678.34503
112,2012-04-23,642.04364
113,2012-04-24,361.9665
114,2012-04-25,532.45496
115,2012-04-26,353.56226
116,2012-04-27,565.37573
117,2012-04-28,656.0506
118,2012-04-29,647.94727
119,2012-04-30,594.2494
120,2012-05-01,560.3446
121,2012-05-02,640.64746
122,2012-05-03,647.747
123,2012-05-04,622.6465
124,2012-05-05,600.4524
125,2012-05-06,589.1436
126,2012-05-07,555.0461
127,2012-05-08,593.2443
128,2012-05-09,636.84784
129,2012-05-10,633.8472
130,2012-05-11,593.3455
131,2012-05-12,578.94916
132,2012-05-13,624.95
133,2012-05-14,566.2463
134,2012-05-15,616.84753
135,2012-05-16,641.34784
136,2012-05-17,590.6461
137,2012-05-18,619.84644
138,2012-05-19,618.45135
139,2012-05-20,603.9484
140,2012-05-21,540.5454
141,2012-05-22,543.2396
142,2012-05-23,615.84796
143,2012-05-24,613.3488
144,2012-05-25,632.7486
145,2012-05-26,626.1491
146,2012-05-27,581.85
147,2012-05-28,616.047
148,2012-05-29,622.94794
149,2012-05-30,620.9475
150,2012-05-31,586.751
151,2012-06-01,648.5458
152,2012-06-02,659.2467
153,2012-06-03,653.9471
154,2012-06-04,659.9468
155,2012-06-05,656.4466
156,2012-06-06,504.96722
157,2012-06-07,511.95038
158,2012-06-08,623.6464
159,2012-06-09,588.65216
160,2012-06-10,606.14844
161,2012-06-11,623.3525
162,2012-06-12,618.74774
163,2012-06-13,577.45184
164,2012-06-14,636.9462
165,2012-06-15,465.7805
166,2012-06-16,625.5492
167,2012-06-17,489.45673
168,2012-06-18,376.76593
169,2012-06-19,416.4626
170,2012-06-20,486.65158
171,2012-06-21,557.7618
172,2012-06-22,512.0674
173,2012-06-23,660.44653
174,2012-06-24,660.2465
175,2012-06-25,654.8469
176,2012-06-26,617.3484
177,2012-06-27,447.9617
178,2012-06-28,438.75876
179,2012-06-29,650.74695
180,2012-06-30,485.6436
181,2012-07-01,417.57477
182,2012-07-02,274.5735
183,2012-07-03,545.7596
184,2012-07-04,659.1464
185,2012-07-05,657.8466
186,2012-07-06,659.4464
187,2012-07-07,587.16284
188,2012-07-08,628.04083
189,2012-07-09,640.84796
190,2012-07-10,657.24664
191,2012-07-11,578.54803
192,2012-07-12,599.3368
193,2012-07-13,607.94995
194,2012-07-14,555.7476
195,2012-07-15,461.06732
196,2012-07-16,502.25345
197,2012-07-17,614.644
198,2012-07-18,619.34656
199,2012-07-19,662.14655
200,2012-07-20,590.0412
201,2012-07-21,595.6458
202,2012-07-22,493.67856
203,2012-07-23,661.2454
204,2012-07-24,630.7447
205,2012-07-25,500.07043
206,2012-07-26,641.34625
207,2012-07-27,656.7459
208,2012-07-28,658.3463
209,2012-07-29,643.4499
210,2012-07-30,634.6507
211,2012-07-31,648.5444
212,2012-08-01,683.24475
213,2012-08-02,676.3404
214,2012-08-03,610.25244
215,2012-08-04,629.347
216,2012-08-05,615.46155
217,2012-08-06,608.8592
218,2012-08-07,644.9448
219,2012-08-08,633.445
220,2012-08-09,535.7501
221,2012-08-10,363.55936
222,2012-08-11,580.16534
223,2012-08-12,658.44684
224,2012-08-13,608.55255
225,2012-08-14,544.1474
226,2012-08-15,494.3663
227,2012-08-16,497.0373
228,2012-08-17,359.6554
229,2012-08-18,510.76096
230,2012-08-19,681.44446
231,2012-08-20,681.4447
232,2012-08-21,586.55597
233,2012-08-22,578.35266
234,2012-08-23,616.64716
235,2012-08-24,454.26263
236,2012-08-25,441.95587
237,2012-08-26,462.86194
238,2012-08-27,347.2691
239,2012-08-28,631.44934
240,2012-08-29,671.4455
241,2012-08-30,380.46176
242,2012-08-31,507.36185
243,2012-09-01,559.16284
244,2012-09-02,677.945
245,2012-09-03,527.2584
246,2012-09-04,399.5816
247,2012-09-05,676.0448
248,2012-09-06,677.845
249,2012-09-07,550.6619
250,2012-09-08,548.74243
251,2012-09-09,574.75
252,2012-09-10,611.7398
253,2012-09-11,579.1607
254,2012-09-12,663.5472
255,2012-09-13,557.26855
256,2012-09-14,670.0463
257,2012-09-15,603.2473
258,2012-09-16,502.37085
259,2012-09-17,670.2446
260,2012-09-18,637.5505
261,2012-09-19,617.34686
262,2012-09-20,620.54443
263,2012-09-21,559.1457
264,2012-09-22,573.14844
265,2012-09-23,478.66522
266,2012-09-24,609.8487
267,2012-09-25,624.8436
268,2012-09-26,622.74347
269,2012-09-27,583.8491
270,2012-09-28,633.64777
271,2012-09-29,599.54474
272,2012-09-30,657.24347
273,2012-10-01,666.5448
274,2012-10-02,673.6456
275,2012-10-03,645.1496
276,2012-10-04,618.15063
277,2012-10-05,640.3521
278,2012-10-06,575.8526
