,Date,GHI
0,2012-01-31,187.02121
1,2012-02-29,245.29208
2,2012-03-31,272.08472
3,2012-04-30,253.0621
4,2012-05-31,256.28696
5,2012-06-30,231.03967
6,2012-07-31,205.99503
7,2012-08-31,206.76689
8,2012-09-30,193.47137
9,2012-10-31,164.12569
10,2012-11-30,149.44185
11,2012-12-31,170.01099
12,2013-01-31,208.95528
13,2013-02-28,209.44504
14,2013-03-31,265.95938
15,2013-04-30,274.04318
16,2013-05-31,245.49179
17,2013-06-30,185.14464
18,2013-07-31,212.80956
19,2013-08-31,158.96895
20,2013-09-30,209.40579
21,2013-10-31,166.67769
22,2013-11-30,179.63036
23,2013-12-31,175.66531
24,2014-01-31,185.65497
25,2014-02-28,241.59183
26,2014-03-31,209.68004
27,2014-04-30,265.8231
28,2014-05-31,250.89197
29,2014-06-30,259.1628
30,2014-07-31,182.7256
31,2014-08-31,230.73787
32,2014-09-30,217.3809
33,2014-10-31,151.27953
34,2014-11-30,152.07639
35,2014-12-31,154.91048
