,Date,GHI
0,2012-01-01,58.98687
1,2012-01-02,128.08498
2,2012-01-03,162.47566
3,2012-01-04,177.06882
4,2012-01-05,179.06831
5,2012-01-06,187.36746
6,2012-01-07,189.36728
7,2012-01-08,190.46735
8,2012-01-09,158.27379
9,2012-01-10,117.18281
10,2012-01-11,197.96574
11,2012-01-12,204.46417
12,2012-01-13,202.16525
13,2012-01-14,203.46524
14,2012-01-15,205.86426
15,2012-01-16,208.26341
16,2012-01-17,209.46349
17,2012-01-18,210.26344
18,2012-01-19,209.06331
19,2012-01-20,208.7638
20,2012-01-21,215.46207
21,2012-01-22,213.36256
22,2012-01-23,211.66315
23,2012-01-24,213.36249
24,2012-01-25,215.06174
25,2012-01-26,217.9615
26,2012-01-27,218.16135
27,2012-01-28,219.16107
28,2012-01-29,218.66156
29,2012-01-30,218.56151
30,2012-01-31,221.66066
31,2012-02-01,215.76128
32,2012-02-02,228.95912
33,2012-02-03,230.75848
34,2012-02-04,230.85933
35,2012-02-05,232.45848
36,2012-02-06,234.75798
37,2012-02-07,232.95795
38,2012-02-08,210.9664
39,2012-02-09,239.75677
40,2012-02-10,239.75696
41,2012-02-11,241.65631
42,2012-02-12,232.75874
43,2012-02-13,238.05652
44,2012-02-14,239.85617
45,2012-02-15,242.25566
46,2012-02-16,246.5549
47,2012-02-17,249.65434
48,2012-02-18,249.6546
49,2012-02-19,249.35406
50,2012-02-20,256.15298
51,2012-02-21,257.95242
52,2012-02-22,260.0516
53,2012-02-23,257.75247
54,2012-02-24,261.45132
55,2012-02-25,263.75082
56,2012-02-26,264.6507
57,2012-02-27,263.35117
58,2012-02-28,266.5503
59,2012-03-01,255.65256
60,2012-03-02,255.65291
61,2012-03-03,256.55264
62,2012-03-04,257.75195
63,2012-03-05,260.85153
64,2012-03-06,260.85132
65,2012-03-07,261.55115
66,2012-03-08,262.5512
67,2012-03-09,263.05127
68,2012-03-10,265.15012
69,2012-03-11,267.05005
70,2012-03-12,266.05032
71,2012-03-13,266.75052
72,2012-03-14,269.8494
73,2012-03-15,270.94904
74,2012-03-16,271.7489
75,2012-03-17,271.84894
76,2012-03-18,273.1484
77,2012-03-19,273.84827
78,2012-03-20,273.84848
79,2012-03-21,274.948
80,2012-03-22,274.04877
81,2012-03-23,276.24762
82,2012-03-24,276.24786
83,2012-03-25,276.94766
84,2012-03-26,276.84802
85,2012-03-27,278.34705
86,2012-03-28,277.34814
87,2012-03-29,278.9471
88,2012-03-30,247.06519
89,2012-03-31,273.9481
90,2012-04-01,273.14844
91,2012-04-02,273.34836
92,2012-04-03,273.2487
93,2012-04-04,205.5554
94,2012-04-05,277.54666
95,2012-04-06,266.752
96,2012-04-07,253.05867
97,2012-04-08,272.1484
98,2012-04-09,223.51918
99,2012-04-10,271.64825
100,2012-04-11,230.36475
101,2012-04-12,183.94931
102,2012-04-13,272.94733
103,2012-04-14,180.84123
104,2012-04-15,274.3477
105,2012-04-16,274.248
106,2012-04-17,251.84892
107,2012-04-18,274.1478
108,2012-04-19,266.35132
109,2012-04-20,271.94757
110,2012-04-21,254.55115
111,2012-04-22,275.54657
112,2012-04-23,200.88628
113,2012-04-24,274.74704
114,2012-04-25,274.94675
115,2012-04-26,117.172874
116,2012-04-27,229.36084
117,2012-04-28,203.56287
118,2012-04-29,264.35214
119,2012-04-30,274.64685
120,2012-05-01,265.94827
121,2012-05-02,266.74826
122,2012-05-03,267.54776
123,2012-05-04,263.54776
124,2012-05-05,248.05025
125,2012-05-06,241.6433
126,2012-05-07,270.5485
127,2012-05-08,269.14807
128,2012-05-09,262.0505
129,2012-05-10,229.37045
130,2012-05-11,268.0477
131,2012-05-12,267.34833
132,2012-05-13,190.74825
133,2012-05-14,265.05127
134,2012-05-15,190.45316
135,2012-05-16,256.5496
136,2012-05-17,269.14822
137,2012-05-18,269.44815
138,2012-05-19,249.15916
139,2012-05-20,152.73857
140,2012-05-21,272.1465
141,2012-05-22,239.35469
142,2012-05-23,267.352
143,2012-05-24,228.33275
144,2012-05-25,269.7468
145,2012-05-26,249.4565
146,2012-05-27,251.8521
147,2012-05-28,234.53813
148,2012-05-29,238.65607
149,2012-05-30,232.14157
150,2012-05-31,266.74762
151,2012-06-01,251.96187
152,2012-06-02,280.54703
153,2012-06-03,280.1471
154,2012-06-04,276.34937
155,2012-06-05,275.24838
156,2012-06-06,279.7507
157,2012-06-07,268.353
158,2012-06-08,279.94852
159,2012-06-09,265.34998
160,2012-06-10,155.65779
161,2012-06-11,209.55072
162,2012-06-12,264.7484
163,2012-06-13,195.06523
164,2012-06-14,278.95016
165,2012-06-15,281.2558
166,2012-06-16,119.7619
167,2012-06-17,170.47223
168,2012-06-18,190.28343
169,2012-06-19,72.68508
170,2012-06-20,128.75969
171,2012-06-21,93.1833
172,2012-06-22,93.081406
173,2012-06-23,220.36113
174,2012-06-24,175.2521
175,2012-06-25,246.05771
176,2012-06-26,209.97763
177,2012-06-27,253.5565
178,2012-06-28,266.75308
179,2012-06-29,204.0472
180,2012-06-30,254.26205
181,2012-07-01,90.68451
182,2012-07-02,226.36986
183,2012-07-03,139.87178
184,2012-07-04,187.25742
185,2012-07-05,229.4506
186,2012-07-06,141.27902
187,2012-07-07,160.18727
188,2012-07-08,199.58
189,2012-07-09,154.16785
190,2012-07-10,205.94759
191,2012-07-11,276.95825
192,2012-07-12,250.57085
193,2012-07-13,245.95901
194,2012-07-14,229.14705
195,2012-07-15,193.16307
196,2012-07-16,184.7411
